Year,Manufacturer,Start,Finish,Team
1980.0,Chevrolet,36,8,Cunningham-Kelley
1983.0,Chevrolet,33,34,Roger Hamby
1984.0,Chevrolet,40,15,Roger Hamby
1985.0,Chevrolet,20,16,Sadler
1986.0,Chevrolet,8,9,Ellington
1987.0,Oldsmobile,10,30,Hagan
1988.0,Oldsmobile,12,8,Hagan
1989.0,Oldsmobile,6,11,Hagan
1990.0,Oldsmobile,21,19,Hagan
1991.0,Ford,12,2,Johnson
1992.0,Ford,1,35,Johnson
1993.0,Ford,14,9,Stavola
1994.0,Chevrolet,4,1,Morgan-McClure
1995.0,Chevrolet,3,1,Morgan-McClure
1996.0,Chevrolet,3,40,Morgan-McClure
1997.0,Chevrolet,9,5,Morgan-McClure
1998.0,Chevrolet,3,22,Team SABCO
1999.0,Chevrolet,17,32,Team SABCO
2000.0,Chevrolet,38,24,Team SABCO
2001.0,Dodge,3,7,Ganassi
2002.0,Dodge,13,8,Ganassi
2003.0,Dodge,7,17,Ganassi
2004.0,Dodge,4,37,Ganassi
2005.0,Dodge,18,8,Ganassi
2006.0,Chevrolet,39,34,Ginn
2007.0,Chevrolet,38,17,Ginn
2008.0,Chevrolet,DNQ,DNQ,Phoenix
