Rank,Airport,City,Code (IATA/ICAO),2009,2010
1.0,Henri Coandă International Airport,Bucharest,OTP/LROP,4480765.0,4802510.0
2.0,Traian Vuia International Airport,Timișoara,TSR/LRTR,991737.0,1136064.0
3.0,Cluj-Napoca International Airport,Cluj-Napoca,CLJ/LRCL,834400.0,1028907.0
4.0,Aurel Vlaicu International Airport,Bucharest,BBU/LROB,1974337.0,1881509.0
5.0,George Enescu International Airport,Bacău,BCM/LRBC,195772.0,240735.0
6.0,Târgu Mureș Transilvania Airport,Târgu Mureș,TGM/LRTM,84062.0,74353.0
7.0,Sibiu International Airport,Sibiu,SBZ/LRSB,148527.0,198753.0
8.0,Iași International Airport,Iași,IAS/LRIA,148538.0,159615.0
9.0,Mihail Kogălniceanu International Airport,Constanța,CND/LRCK,68690.0,74587.0
10.0,Oradea Airport,Oradea,OMR/LROD,41692.0,36477.0
11.0,Craiova International Airport,Craiova,CRA/LRCV,15130.0,23629.0
12.0,Suceava Ștefan cel Mare Airport,Suceava,SCV/LRSV,32561.0,34437.0
13.0,Satu Mare International Airport,Satu Mare,SUJ/LRSM,11101.0,18859.0
14.0,Baia Mare Airport,Baia Mare,BAY/LRBM,23818.0,19020.0
15.0,Arad International Airport,Arad,ARW/LRAR,44743.0,8359.0
16.0,Tulcea Danube Delta Airport,Tulcea,TCE/LRTC,854.0,427.0
