Week,Date,Opponent,Result,Attendance
1.0,"September 8, 2005",at New England Patriots,L 30–20,"68,756"
2.0,"September 18, 2005",Kansas City Chiefs,L 23–17,"62,273"
3.0,"September 25, 2005",at Philadelphia Eagles,L 23–20,"67,735"
4.0,"October 2, 2005",Dallas Cowboys,W 19–13,"62,400"
5.0,Bye,Bye,Bye,Bye
6.0,"October 16, 2005",San Diego Chargers,L 27–14,"52,666"
7.0,"October 23, 2005",Buffalo Bills,W 38–17,"42,779"
8.0,"October 30, 2005",at Tennessee Titans,W 34–25,"69,149"
9.0,"November 6, 2005",at Kansas City Chiefs,L 27–23,"79,033"
10.0,"November 13, 2005",Denver Broncos,L 31–17,"62,779"
11.0,"November 20, 2005",at Washington Redskins,W 16–13,"90,129"
12.0,"November 27, 2005",Miami Dolphins,L 33–21,"49,097"
13.0,"December 4, 2005",at San Diego Chargers,L 34–10,"66,436"
14.0,"December 11, 2005",at New York Jets,L 26–10,"77,561"
15.0,"December 18, 2005",Cleveland Browns,L 9–7,"41,862"
16.0,"December 24, 2005",at Denver Broncos,L 22–3,"76,212"
17.0,"December 31, 2005",New York Giants,L 30–21,"44,594"
