Name,Championship,FA Cup,League Cup,Total
Leroy Lita,7.0,4.0,3.0,14.0
Kevin Doyle,13.0,0.0,0.0,13.0
Steve Sidwell,4.0,0.0,0.0,4.0
Stephen Hunt,4.0,0.0,0.0,4.0
Seol Ki-Hyeon,4.0,0.0,0.0,4.0
s Own goal,4.0,0.0,0.0,4.0
Brynjar Gunnarsson,3.0,1.0,0.0,4.0
Dave Kitson,2.0,2.0,0.0,4.0
Shane Long,2.0,1.0,1.0,4.0
James Harper,3.0,0.0,0.0,3.0
Ívar Ingimarsson,2.0,0.0,0.0,2.0
Ulises de la Cruz,1.0,0.0,0.0,1.0
John Oster,1.0,0.0,0.0,1.0
Ibrahima Sonko,1.0,0.0,0.0,1.0
Nicky Shorey,1.0,0.0,0.0,1.0
André Bikey,0.0,1.0,0.0,1.0
Sam Sodje,0.0,1.0,0.0,1.0
Péter Máté,0.0,0.0,1.0,1.0
TOTALS,54.0,9.0,6.0,69.0
