Year,Team,Wins,Points,Championship Finish
1985.0,Dick Simon Racing,0.0,10.0,30th
1986.0,Dick Simon Racing,0.0,54.0,13th
1987.0,Granatelli,0.0,8.0,27th
1988.0,Shierson Racing,0.0,89.0,8th
1989.0,Shierson Racing,0.0,68.0,11th
1990.0,Truesports,0.0,42.0,12th
1992.0,Dick Simon Racing,0.0,80.0,9th
1993.0,Dick Simon Racing,0.0,132.0,5th
1994.0,Dick Simon Racing,0.0,90.0,7th
1995.0,Rahal-Hogan Racing,0.0,48.0,16th
1996.0,Team Green,0.0,17.0,22nd
1997.0,Patrick Racing,0.0,91.0,10th
1999.0,Green / All American Racers,0.0,1.0,32nd
