No,Date,Round,Circuit,Pole Position,Fastest Lap,Race winner,Report
1.0,24 February,Qatar,Losail,Kevin Curtain,Sébastien Charpentier,Kenan Sofuoğlu,Report
2.0,4 March,Australia,Phillip Island,Fabien Foret,Sébastien Charpentier,Fabien Foret,Report
3.0,1 April,Europe,Donington Park,Pere Riba,Katsuaki Fujiwara,Kenan Sofuoğlu,Report
4.0,15 April,Spain,Valencia,Kenan Sofuoğlu,Katsuaki Fujiwara,Kenan Sofuoğlu,Report
5.0,29 April,Netherlands,Assen,Kenan Sofuoğlu,Kenan Sofuoğlu,Kenan Sofuoğlu,Report
6.0,13 May,Italy,Monza,Kenan Sofuoğlu,Kenan Sofuoğlu,Kenan Sofuoğlu,Report
7.0,27 May,Great Britain,Silverstone,Sébastien Charpentier,Anthony West,Anthony West,Report
8.0,17 June,San Marino,Misano,Broc Parkes,Anthony West,Anthony West,Report
9.0,22 July,Czech Republic,Brno,Kenan Sofuoğlu,Kenan Sofuoğlu,Kenan Sofuoğlu,Report
10.0,5 August,Great Britain,Brands Hatch,Sébastien Charpentier,Broc Parkes,Broc Parkes,Report
11.0,9 September,Germany,EuroSpeedway Lausitz,Sébastien Charpentier,Kenan Sofuoğlu,Broc Parkes,Report
12.0,30 September,Italy,Vallelunga,Craig Jones,Kenan Sofuoğlu,Kenan Sofuoğlu,Report
