Class,Number range,Quantity,Year(s) Built,Type
T 0 ( de ),6001–6040,10.0,"1880, 1883",1A n2t 1A n2vt
T 1 ( de ),6001–6040,76.0,1882–1886,B n2(v)t
T 2 ( de ),6041–6100,67.0,1884–1889,B n2t
T 2 / T 4 ( de ),6041–6100,70.0,1881–1882,1B n2t
T 2 1 ( de ),6041–6100,18.0,1884,B1 n2t
T 2 / T 3 / T 4 ( de ),6041–6100,5.0,"1895, 1902",B1 n2t
T 3,6100–6400,1804.0,1881–1910,C n2t
T 4 ( de ),6401–6600,14.0,1884–1888,1B n2t
T 4 ( de ),6401–6600,24.0,1885–1890,1′B n2t
T 4 ( de ),6401–6600,78.0,1888–1893,1B n2t
T 4 1 ( de ),6401–6600,177.0,1890–1898,1B n2t
T 4 2 ( de ),6401–6600,63.0,1889–1897,B1 n2t
T 4 3 ( de ),6401–6600,3.0,1898,1′B n2t
T 5 1,6601–6700,309.0,1895–1905,1′B1′ n2t
T 5 2,6601–6700,36.0,1899–1900,"2′B n2t, 2′B h2t"
T 6 ( de ),6701–6800,12.0,1902,"1′C1′ n3t, 1′C1′ n2t"
T 7 ( de ),6801–7000,374.0,1876–1900,C n2
T 8 ( de ),7001–7050,100.0,1906–1909,C h2t
T 9 Elberfeld,7051–7400,37.0,1891–1900,C1′ n2t
T 9 Langenschwalbach,7051–7400,19.0,1892–1895,C1′ n2t
T 9 1,7051–7400,425.0,1893–1909,C1′ n2t
T 9 2,7051–7400,235.0,1892–1901,1′C n2t
T 9 3,7051–7400,2060.0,1902–1922,1′C n2t
T 10,7401–7500,12.0,1909,2′C h2t
T 11,7501–7700,470.0,1903–1910,"1′C n2t, 1′C h2t"
T 12,7701–7900 Berlin 8201–8500 Berlin 8701–8754,974.0,1902–1916,1′C h2t
T 13 Hagans,7901–8000,29.0,1899–1902,D n2t
T 13,7901–8000,585.0,1899–1922,D n2t
( T 13 1 ),7901–8000,9.0,"1921, 1922",D h2t
T 14 (Experimental) ( de ),Berlin 8501,1.0,1913,1′D1′ h2t
T 14,8501–8700,547.0,1913–1918,"1′D1′ h2t, 1′D1′ h3t"
T 14 1,8501–8700 Berlin 8901–9105,729.0,1918–1924,1′D1′ h2t
T 15 ( de ),8001–8100,93.0,1897–1905,E n2t
T 16 (Experimental) ( de ),Erfurt 1980,1.0,1904,2′C2′ h4vt
T 16 ( de ),8101–8200,343.0,1905–1913,E h2t
T 16 1,8101–8200 Essen 8201–8400 Essen 8601–8809,1236.0,1913–1924,E h2t
T 18,8401–8500 Essen 8901–8960,460.0,1912–1927,2′C2′ h2t
( T 20 ),(9201–9300),45.0,1922–1924,1′E1′ h2t
T 26 ( de ),9001–9050,35.0,1902–1920,C1′ n2(4)zt
T 28 ( de ),Erfurt 9101,1.0,1922,1′D1′ h2(4v)zt
