Debut year,Player,Games,Goals,Years at club
1930.0,Frank Beggs,4.0,0.0,1930
1930.0,Colin Benham,81.0,70.0,1930–1936
1930.0,Fred Davies,63.0,11.0,"1930–1931, 1933–1934"
1930.0,Con Hogan,30.0,0.0,1930–1931
1930.0,Gerald McKenzie,18.0,0.0,1930
1930.0,Harry Challis,3.0,0.0,1930
1930.0,Jack Williams,4.0,4.0,1930
1930.0,Wilfred Smallhorn,150.0,31.0,1930–1940
1930.0,Frank Raymond,1.0,0.0,1930
1930.0,Ken Veevers,18.0,2.0,1930–1932
1930.0,Keith Fleming,6.0,4.0,"1930, 1934"
1930.0,Ken Mackie,7.0,15.0,1930–1931
1930.0,Roy McDougall,8.0,0.0,1930–1932
1930.0,Lindsay Fricker,1.0,0.0,1930
1931.0,"Haydn Bunton, Sr",119.0,207.0,"1931–1937, 1942"
1931.0,Lionel Hastie,13.0,15.0,1931
1931.0,Austin Hogan,5.0,2.0,1931
1931.0,Les Prior,12.0,11.0,1931
1931.0,Ray Niven,23.0,24.0,"1931, 1933–1934"
1931.0,Harry Verdon,1.0,3.0,1931
1931.0,Dinny Dowd,15.0,1.0,1931
1931.0,Jack Rocchi,4.0,0.0,1931
1931.0,Leo Bird,8.0,2.0,1931
1931.0,Tom Harrington,1.0,0.0,1931
1931.0,Harold Hartney,4.0,0.0,1931
1931.0,Roy Hearn,8.0,9.0,1931
1931.0,Horrie Dawson,140.0,62.0,1931–1940
1931.0,Ian Fleming,64.0,32.0,1931–1935
1931.0,Fred Heintz,14.0,18.0,1931–1933
1931.0,Stan Jones,1.0,0.0,1931
1931.0,Fleming,2.0,1.0,1931
1931.0,Charlie Holmes,1.0,0.0,1931
1932.0,Frank Curcio,249.0,17.0,"1932–1936, 1938–1943, 1945–1948"
1932.0,Mal MacRae,6.0,6.0,1932
1932.0,Doug Nicholls,54.0,2.0,1932–1937
1932.0,Laurie Plunkett,2.0,0.0,1932
1932.0,Jack Sexton,29.0,10.0,1932–1934
1932.0,Len Stott,62.0,16.0,1932–1937
1932.0,Harold Boyd,11.0,1.0,1932
1932.0,Ron Shapter,18.0,13.0,1932–1934
1932.0,George Chapman,13.0,9.0,1932
1932.0,Phil Lane,1.0,0.0,1932
1932.0,Ernie Burnes,4.0,2.0,1932
1932.0,Joe McKinley,1.0,0.0,1932
1932.0,Lew Sharpe,6.0,0.0,1932
1932.0,Stan Castles,2.0,3.0,1932
1932.0,Ray Coller,4.0,2.0,1932
1932.0,John Ryan,4.0,1.0,1932
1932.0,Wally Gray,87.0,4.0,1932–1938
1932.0,Alf Taggart,3.0,0.0,1932
1932.0,Wally Coates,2.0,0.0,1932
1932.0,Jack Cleary,3.0,0.0,1932
1932.0,Tommy Wells,4.0,1.0,1932
1932.0,Mickey Sharp,104.0,90.0,1932–1941
1933.0,Alf Callick,37.0,6.0,"1933–1935, 1937"
1933.0,Jock Cordner,24.0,23.0,1933–1934
1933.0,Frank Donnellan,36.0,0.0,1933–1934
1933.0,Dan Murray,66.0,4.0,"1933–1934, 1938–1941, 1943–1945"
1933.0,Frank O'Rourke,7.0,2.0,1933
1933.0,Seth Parry,5.0,3.0,1933
1933.0,Wally Mitchell,2.0,0.0,1933
1933.0,Len Watt,35.0,19.0,1933–1937
1933.0,Keith Marshall,2.0,5.0,1933
1933.0,Clete Turner,15.0,3.0,1933–1934
1933.0,Arthur Williams,3.0,0.0,1933
1933.0,Bruce Scharp,2.0,0.0,1933
1933.0,Keith Giffen,2.0,0.0,1933
1933.0,Claude Canaway,1.0,0.0,1933
1933.0,Jack Kidd,1.0,2.0,1933
1934.0,Bill Bedford,5.0,5.0,1934
1934.0,Rex Byrne,2.0,0.0,1934
1934.0,Len Pye,16.0,39.0,1934–1935
1934.0,Bill Shenfield,25.0,16.0,1934–1935
1934.0,Jim Steigenberger,3.0,0.0,1934
1934.0,Brian Goodhart,15.0,4.0,1934–1935
1934.0,Charles Cameron,23.0,52.0,1934–1936
1934.0,Allan Thompson,23.0,23.0,1934–1936
1934.0,Maurie Hearn,128.0,87.0,"1934–1937, 1939–1944"
1934.0,Bob Muir,2.0,0.0,1934
1934.0,Noel Fisher,7.0,4.0,1934–1935
1935.0,Denis Ryan,70.0,65.0,1935–1939
1935.0,Bert Beard,13.0,6.0,1935
1935.0,Frank Seymour,5.0,9.0,1935
1935.0,Mel Rudd,5.0,1.0,1935
1935.0,Richie Saunders,16.0,0.0,1935–1936
1935.0,Leo Maynes,15.0,4.0,1935–1937
1935.0,Ron Latham,1.0,0.0,1935
1935.0,Don Quartermain,4.0,0.0,1935–1936
1935.0,Ted Griffin,1.0,1.0,1935
1935.0,Jim Toohey,35.0,32.0,"1935–1936, 1938"
1935.0,Alf Neeson,7.0,0.0,1935–1936
1935.0,Wally O'Brien,2.0,0.0,1935
1935.0,Len Blackley,2.0,2.0,1935
1935.0,Keith McPhee,1.0,0.0,1935
1936.0,Norm Andrews,4.0,1.0,1936
1936.0,Col Crawford,1.0,0.0,1936
1936.0,Arthur Hall,68.0,4.0,1936–1941
1936.0,Tom Ledwidge,6.0,3.0,"1936, 1938"
1936.0,Russell McInnes,13.0,0.0,1936–1937
