Game,January,Opponent,Score,Record
35.0,1.0,@ Boston Bruins,5 - 3,11-17-7
36.0,5.0,Chicago Black Hawks,4 - 1,12-17-7
37.0,6.0,Montreal Canadiens,3 - 2,12-18-7
38.0,9.0,Toronto Maple Leafs,4 - 3,12-19-7
39.0,11.0,@ Chicago Black Hawks,7 - 4,13-19-7
40.0,12.0,@ Detroit Red Wings,5 - 4,14-19-7
41.0,13.0,Detroit Red Wings,3 - 2,14-20-7
42.0,19.0,@ Montreal Canadiens,5 - 0,14-21-7
43.0,20.0,@ Detroit Red Wings,5 - 2,14-22-7
44.0,23.0,@ Toronto Maple Leafs,4 - 4,14-22-8
45.0,26.0,@ Boston Bruins,5 - 3,15-22-8
46.0,27.0,@ Chicago Black Hawks,3 - 2,16-22-8
47.0,30.0,Chicago Black Hawks,7 - 2,16-23-8
