Debut year,Player,Games,Goals,Years at club
1980.0,Darryl Cox,16.0,8.0,"1980, 1982–1983"
1980.0,Phillip Early,3.0,1.0,1980
1980.0,Leigh McConnon,23.0,4.0,1980–1981
1980.0,Len Thompson,13.0,19.0,1980
1980.0,Craig Braddy,8.0,3.0,1980–1981
1980.0,Rod Lewis,32.0,21.0,"1980–1981, 1983"
1980.0,Ross Thornton,146.0,26.0,1980–1989
1980.0,Bruce Chambers,1.0,0.0,1980
1980.0,David Rankin,9.0,2.0,1980–1981
1980.0,John Rantall,6.0,0.0,1980
1980.0,Mick Gilmore,2.0,1.0,1980
1980.0,Frank Marchesani,16.0,17.0,1980
1980.0,Larry Watson,4.0,0.0,1980
1980.0,Les Parish,87.0,52.0,1980–1985
1980.0,Glenn Coleman,64.0,7.0,1980–1984
1980.0,Andrew Veal,6.0,0.0,1980
1980.0,Peter Foster,7.0,2.0,1980–1982
1980.0,Geoff Everett,15.0,1.0,1980–1982
1981.0,Graeme Hinchen,77.0,3.0,1981–1987
1981.0,Lee Murnane,51.0,49.0,1981–1984
1981.0,Matthew Rendell,164.0,101.0,1981–1991
1981.0,Terry O'Neill,28.0,1.0,1981–1983
1981.0,Scott Clayton,160.0,23.0,1981–1990
1981.0,Leigh Carlson,75.0,48.0,1981–1984
1981.0,Des Herbert,14.0,5.0,1981–1983
1981.0,John Cassin,5.0,0.0,1981–1982
1981.0,Peter Francis,40.0,19.0,1981–1983
1982.0,Mark Eaves,2.0,0.0,1982–1983
1982.0,Michael Coates,29.0,5.0,"1982–1984, 1986"
1982.0,Bradley Gotch,43.0,60.0,1982–1985
1982.0,Gary Pert,163.0,42.0,1982–1990
1982.0,Paul Roos,269.0,270.0,1982–1994
1982.0,Andrew Merryweather,1.0,0.0,1982
1982.0,Jan Smith,7.0,1.0,1982
1982.0,Richard Osborne,187.0,411.0,1982–1992
1982.0,Grant O'Riley,6.0,5.0,1982–1983
1982.0,Garry Sidebottom,43.0,53.0,1982–1984
1983.0,Brett Grimley,18.0,2.0,1983–1985
1983.0,Bill Lokan,87.0,40.0,1983–1988
1983.0,Michael Reeves,40.0,10.0,1983–1987
1983.0,Michael Nettlefold,31.0,6.0,1983–1985
1983.0,Mark Scott,41.0,57.0,"1983–1985, 1987–1989"
1984.0,Doug Barwick,76.0,128.0,1984–1987
1984.0,Dean Turner,54.0,19.0,1984–1986
1984.0,Graeme Williamson,9.0,1.0,"1984, 1986"
1984.0,Craig McGrath,58.0,42.0,1984–1989
1984.0,Tim Pekin,107.0,15.0,1984–1989
1984.0,Peter Burke,26.0,2.0,1984–1985
1984.0,Jamie Cooper,26.0,1.0,1984–1987
1984.0,Kevin Taylor,1.0,1.0,1984
1984.0,Bernie Harris,46.0,60.0,1984–1986
1984.0,Graham Osborne,37.0,8.0,1984–1989
1985.0,Andrew Cross,19.0,12.0,1985
1985.0,Darren Murphy,4.0,0.0,1985
1985.0,Paul Tilley,13.0,1.0,1985–1986
1985.0,Tony Spassopoulos,1.0,0.0,1985
1985.0,Gary Keane,55.0,55.0,1985–1988
1985.0,Shane Halas,11.0,11.0,1985
1985.0,Scott McIvor,55.0,15.0,1985–1987
1985.0,Phillip Knight,33.0,21.0,1985–1988
1985.0,Grant Thomas,4.0,0.0,1985
1985.0,Michael Gibson,3.0,0.0,1985
1985.0,David Crutchfield,4.0,0.0,1985
1985.0,Ross Lyon,127.0,112.0,1985–1994
1985.0,John Blakey,135.0,38.0,1985–1992
1986.0,Michael Gale,105.0,29.0,1986–1993
1986.0,Duane Rowe,31.0,3.0,"1986, 1989–1992"
1986.0,Murray Browne,6.0,0.0,1986
1986.0,Jim Wynd,137.0,62.0,1986–1994
1986.0,Chris Stacey,1.0,0.0,1986
1986.0,Peter McCormack,1.0,0.0,1986
1986.0,David Mitchell,4.0,2.0,1986
1986.0,Mark Dwyer,13.0,6.0,1986–1987
1986.0,Brendan Ryan,1.0,0.0,1986
1986.0,Stuart Cameron,13.0,2.0,1986–1988
1986.0,Darren Bolden,2.0,2.0,1986
1987.0,Matthew Armstrong,132.0,71.0,1987–1994
1987.0,Chris Duthy,3.0,0.0,1987
1987.0,Darren Kappler,87.0,51.0,1987–1991
1987.0,Brett Stephens,133.0,52.0,1987–1993
1987.0,Ken Hinkley,11.0,21.0,1987–1988
1987.0,Keith Thomas,28.0,15.0,1987–1988
1987.0,Mark Trewella,23.0,4.0,1987–1990
