Name,League,Play-offs,FA Cup,League Cup,Total
Paul Groves Category:Articles with hCards,46.0,3.0,3.0,2.0,54.0
Alan Wright Category:Articles with hCards,45.0,3.0,3.0,2.0,53.0
Steve McIlhargey Category:Articles with hCards,44.0,3.0,3.0,2.0,52.0
Tony Rodwell Category:Articles with hCards,45.0,3.0,3.0,1.0,52.0
Ian Gore Category:Articles with hCards,41.0,3.0,3.0,2.0,49.0
Phil Horner Category:Articles with hCards,39.0,3.0,3.0,0.0,45.0
Andy Garner Category:Articles with hCards,36.0,3.0,3.0,2.0,44.0
David Eyres Category:Articles with hCards,36.0,3.0,1.0,2.0,42.0
Mike Davies Category:Articles with hCards,37.0,3.0,1.0,0.0,41.0
Trevor Sinclair Category:Articles with hCards,31.0,2.0,3.0,2.0,38.0
Gary Briggs Category:Articles with hCards,30.0,2.0,3.0,2.0,37.0
Dave Bamber Category:Articles with hCards,23.0,1.0,1.0,0.0,25.0
Carl Richards Category:Articles with hCards,22.0,0.0,2.0,1.0,25.0
Chris Hedworth Category:Articles with hCards,20.0,0.0,3.0,0.0,23.0
Mark Taylor Category:Articles with hCards,19.0,3.0,0.0,1.0,23.0
Phil Stant Category:Articles with hCards,12.0,0.0,0.0,0.0,12.0
Dave Lancaster Category:Articles with hCards,8.0,0.0,0.0,2.0,10.0
Gary Brook Category:Articles with hCards,4.0,0.0,0.0,2.0,6.0
A. Smalley Category:Articles with hCards,6.0,0.0,0.0,0.0,6.0
Andy Gouck Category:Articles with hCards,5.0,0.0,0.0,0.0,5.0
Mark Bradshaw Category:Articles with hCards,1.0,0.0,0.0,2.0,3.0
Mark Wright Category:Articles with hCards,3.0,0.0,0.0,0.0,3.0
Fred Barber Category:Articles with hCards,2.0,0.0,0.0,0.0,2.0
Gordon Owen Category:Articles with hCards,1.0,0.0,0.0,0.0,1.0
Russell Coughlin Category:Articles with hCards,0.0,0.0,0.0,0.0,0.0
