Rank,Nation,Gold,Silver,Bronze,Total
1.0,Russia,5.0,4.0,4.0,13.0
2.0,Czech Republic,3.0,2.0,1.0,6.0
3.0,Germany,2.0,5.0,1.0,8.0
4.0,Bulgaria,2.0,2.0,2.0,6.0
5.0,Romania,2.0,2.0,1.0,5.0
6.0,France,2.0,1.0,2.0,5.0
7.0,Great Britain,2.0,1.0,2.0,5.0
8.0,Sweden,2.0,1.0,0.0,3.0
9.0,Spain,1.0,2.0,1.0,4.0
10.0,Greece,1.0,1.0,1.0,3.0
11.0,Ireland,1.0,1.0,0.0,2.0
12.0,Latvia,1.0,0.0,0.0,1.0
13.0,Israel,1.0,0.0,0.0,1.0
14.0,Austria,1.0,0.0,0.0,1.0
15.0,Finland,1.0,0.0,0.0,1.0
16.0,Poland,0.0,1.0,2.0,3.0
17.0,Italy,0.0,1.0,1.0,2.0
18.0,Belgium,0.0,1.0,1.0,2.0
19.0,Portugal,0.0,1.0,0.0,1.0
20.0,Slovenia,0.0,1.0,0.0,1.0
21.0,Hungary,0.0,0.0,2.0,2.0
22.0,Ukraine,0.0,0.0,2.0,2.0
23.0,Estonia,0.0,0.0,1.0,1.0
24.0,Netherlands,0.0,0.0,1.0,1.0
25.0,Yugoslavia,0.0,0.0,1.0,1.0
