No,Player,Height,Position,Year born,Current Club
4.0,Stepán Vrubl,1.86,Guard,1976.0,A Plus Brno
5.0,Pavel Benes,1.90,Guard,1975.0,Nymburk
6.0,Maurice Whitfield,1.86,Guard,1973.0,Olympiada Patras
7.0,Michal Kremen,2.00,Forward,1981.0,Nymburk
8.0,Lukás Kraus,2.01,Forward,1984.0,Liberec
9.0,Jiří Welsch,1.97,Guard,1980.0,Unicaja
10.0,Ladislav Sokolovsky,2.00,Forward,1977.0,Nymburk
11.0,Luboš Bartoň,2.02,Forward,1980.0,DKV Joventut
12.0,Radek Necas,2.04,Forward,1980.0,Nymburk
13.0,Petr Benda,2.04,Center,1982.0,Nymburk
14.0,Jakub Houška,2.06,Center,1982.0,Děčín
