Week,Date,Opponent,Result,Record,Game Site,Attendance
1.0,"September 29, 1957",Detroit Lions,W 34–14,1–0,Memorial Stadium,40112.0
2.0,"October 5, 1957",Chicago Bears,W 21–10,2–0,Memorial Stadium,46558.0
3.0,"October 13, 1957",at Green Bay Packers,W 45–17,3–0,Milwaukee County Stadium,26322.0
4.0,"October 20, 1957",at Detroit Lions,L 27–31,3–1,Tiger Stadium,55764.0
5.0,"October 27, 1957",Green Bay Packers,L 21–24,3–2,Memorial Stadium,48510.0
6.0,"November 3, 1957",Pittsburgh Steelers,L 13–19,3–3,Memorial Stadium,42575.0
7.0,"November 10, 1957",at Washington Redskins,W 21–17,4–3,Griffith Stadium,33149.0
8.0,"November 17, 1957",at Chicago Bears,W 29–14,5–3,Wrigley Field,47168.0
9.0,"November 24, 1957",San Francisco 49ers,W 27–21,6–3,Memorial Stadium,50073.0
10.0,"December 1, 1957",Los Angeles Rams,W 31–14,7–3,Memorial Stadium,52060.0
11.0,"December 8, 1957",at San Francisco 49ers,L 13–17,7–4,Kezar Stadium,59950.0
12.0,"December 15, 1957",at Los Angeles Rams,L 21–37,7–5,Los Angeles Memorial Coliseum,52560.0
