Series no.,Season no.,Title,Directed by,Written by,Original air date,Production Code
38.0,1.0,"""A House Is Not a Home""",Tyler Perry,Michelle L. Johnson,"December5,2007",201.0
39.0,2.0,"""Home Alone""",Tyler Perry,Teri Jackson,"December5,2007",202.0
40.0,3.0,"""The Wench Who Saved Christmas""",Tyler Perry,Jenee V. Giles,"December5,2007",203.0
41.0,4.0,"""Trial By Fire: Part 1""",Tyler Perry,Steve Coulter & Dee Wagner,"December5,2007",204.0
42.0,5.0,"""Trial By Fire: Part 2""",Tyler Perry,Joseph Hampton & Dani Renee,"December12,2007",205.0
43.0,6.0,"""Trial By Fire: Part 3""",Tyler Perry,Joseph Hampton & Dani Renee,"December12,2007",206.0
44.0,7.0,"""Crazy In Love""",Tyler Perry,Michelle L. Johnson,"December12,2007",207.0
45.0,8.0,"""Reality Check""",Tyler Perry,Joseph Hampton & Christopher J. Moore,"December12,2007",208.0
46.0,9.0,"""Piece Of Mind""",Tyler Perry,Brandon Broussard & Dani Renee,"December19,2007",209.0
47.0,10.0,"""There's No Place Like Home""",Tyler Perry,Teri Jackson,"December19,2007",210.0
48.0,11.0,"""Mommie Dearest""",Tyler Perry,Kellie R. Griffin,"December26,2007",211.0
49.0,12.0,"""You Big Dummy""",Tyler Perry,Lamont Ferrell,"December26,2007",212.0
50.0,13.0,"""It's A Boy""",Tyler Perry,Joseph Hampton,"January2,2008",213.0
51.0,14.0,"""Aches and Paynes""",Tyler Perry,Brandon Broussard,"January2,2008",214.0
52.0,15.0,"""The Big Bang Theory""",Tyler Perry,Christopher J. Moore,"January9,2008",215.0
53.0,16.0,"""Step It Up""",Tyler Perry,Jenee V. Giles & Christopher J. Moore,"January9,2008",216.0
54.0,17.0,"""No Pain, No Gain""",Tyler Perry,Steve Coulter & Dee Wagner,"January16,2008",217.0
55.0,18.0,"""Devil in a Blue Suit""",Tyler Perry,Jenee V. Giles,"January16,2008",218.0
56.0,19.0,"""Bad Influence""",Tyler Perry,Teri Jackson,"January23,2008",219.0
57.0,20.0,"""Play On Playa""",Tyler Perry,Shontell R. McClain,"January23,2008",220.0
58.0,21.0,"""It's Getting Hot in Here""",Tyler Perry,Myra J.,"January30,2008",221.0
