Season,Series,Team,Races,Wins,Poles,F/Laps,Points,Position
2003.0,British Formula Renault 2.0 (Winter Series),Manor Motorsport,3.0,0.0,0.0,0.0,3.0,22nd
2004.0,British Formula Renault 2.0 (Regular Series),Team JVA,17.0,0.0,0.0,0.0,14.0,34th
2005.0,French Formula Renault 2.0 (Regular Series),Comtec Racing,12.0,0.0,0.0,0.0,1.0,21st
2005.0,Formula Renault 2.0 Eurocup,Comtec Racing,15.0,0.0,0.0,0.0,0.0,NC
2006.0,Formula Renault 2.0 Eurocup,Comtec Team,14.0,0.0,0.0,0.0,0.0,NC
2006.0,British Formula Renault 2.0 (Regular Series),Comtec Racing,16.0,0.0,0.0,0.0,87.0,19th
2007.0,Formula Renault 3.5 Series,Cram Competition,16.0,0.0,0.0,0.0,1.0,27th
2008.0,Formula Renault 3.5 Series,P1 Motorsport,17.0,0.0,0.0,0.0,5.0,25th
2008.0,Porsche Carrera Cup Great Britain,Team Eurotech,6.0,0.0,0.0,0.0,15.0,17th
2009.0,Firestone Indy Lights Series,Panther Racing,15.0,0.0,0.0,0.0,237.0,14th
2010.0,Firestone Indy Lights Series,Sam Schmidt Motorsports,12.0,1.0,3.0,0.0,312.0,5th
2011.0,IZOD IndyCar Series,Conquest Racing,1.0,0.0,0.0,0.0,32.0,38th
2011.0,IZOD IndyCar Series,Rahal Letterman Lanigan Racing,1.0,0.0,0.0,0.0,32.0,38th
2012.0,Auto GP World Series,Campos Racing,2.0,0.0,0.0,0.0,5.0,20th
