Driver,Constructor,Laps,Time/Retired,Grid
Ralf Schumacher,Williams - BMW,62.0,1:30:44.817,3.0
David Coulthard,McLaren - Mercedes,62.0,+4.352,1.0
Rubens Barrichello,Ferrari,62.0,+34.766,6.0
Mika Häkkinen,McLaren - Mercedes,62.0,+36.315,2.0
Jarno Trulli,Jordan - Honda,62.0,+1:25.558,5.0
Heinz-Harald Frentzen,Jordan - Honda,61.0,+1 Lap,9.0
Nick Heidfeld,Sauber - Petronas,61.0,+1 Lap,12.0
Olivier Panis,BAR - Honda,61.0,+1 Lap,8.0
Jean Alesi,Prost - Acer,61.0,+1 Lap,14.0
Enrique Bernoldi,Arrows - Asiatech,60.0,+2 Laps,16.0
Luciano Burti,Jaguar - Cosworth,60.0,+2 Laps,15.0
Jenson Button,Benetton - Renault,60.0,+2 Laps,21.0
Tarso Marques,Minardi - European,50.0,Engine,22.0
Juan Pablo Montoya,Williams - BMW,48.0,Clutch,7.0
Eddie Irvine,Jaguar - Cosworth,42.0,Engine,13.0
Giancarlo Fisichella,Benetton - Renault,31.0,Engine,19.0
Jacques Villeneuve,BAR - Honda,30.0,Engine,11.0
Gastón Mazzacane,Prost - Acer,28.0,Engine,20.0
Michael Schumacher,Ferrari,24.0,Suspension,4.0
Kimi Räikkönen,Sauber - Petronas,17.0,Steering,10.0
Jos Verstappen,Arrows - Asiatech,6.0,Exhaust,17.0
Fernando Alonso,Minardi - European,5.0,Brakes,18.0
