Driver,Constructor,Laps,Time/Retired,Grid
Michael Schumacher,Ferrari,77.0,1:41:49.675,1.0
Rubens Barrichello,Ferrari,77.0,+3.363,3.0
David Coulthard,McLaren - Mercedes,77.0,+3.940,2.0
Ralf Schumacher,Williams - BMW,77.0,+49.687,4.0
Mika Häkkinen,McLaren - Mercedes,77.0,+1:10.293,6.0
Nick Heidfeld,Sauber - Petronas,76.0,+1 Lap,7.0
Kimi Räikkönen,Sauber - Petronas,76.0,+1 Lap,9.0
Juan Pablo Montoya,Williams - BMW,76.0,+1 Lap,8.0
Jacques Villeneuve,BAR - Honda,75.0,+2 Laps,10.0
Jean Alesi,Jordan - Honda,75.0,+2 Laps,12.0
Pedro de la Rosa,Jaguar - Cosworth,75.0,+2 Laps,13.0
Jos Verstappen,Arrows - Asiatech,74.0,+3 Laps,21.0
Giancarlo Fisichella,Benetton - Renault,67.0,Engine,15.0
Heinz-Harald Frentzen,Prost - Acer,63.0,Spun off,16.0
Tarso Marques,Minardi - European,63.0,Oil Pressure,22.0
Olivier Panis,BAR - Honda,58.0,Electrical,11.0
Jarno Trulli,Jordan - Honda,53.0,Hydraulics,5.0
Fernando Alonso,Minardi - European,37.0,Brakes,18.0
Jenson Button,Benetton - Renault,34.0,Spun off,17.0
Enrique Bernoldi,Arrows - Asiatech,11.0,Spun off,20.0
Luciano Burti,Prost - Acer,8.0,Spun off,19.0
Eddie Irvine,Jaguar - Cosworth,0.0,Spun off,14.0
