Rider,Manufacturer,Laps,Time/Retired,Grid
Jorge Lorenzo,Aprilia,23.0,+40:51.620,1.0
Alex de Angelis,Aprilia,23.0,+3.194,5.0
Andrea Dovizioso,Honda,23.0,+10.596,7.0
Thomas Luthi,Aprilia,23.0,+17.100,4.0
Álvaro Bautista,Aprilia,23.0,+20.298,6.0
Mika Kallio,KTM,23.0,+20.566,12.0
Hiroshi Aoyama,KTM,23.0,+20.615,8.0
Héctor Barberá,Aprilia,23.0,+23.584,2.0
Marco Simoncelli,Gilera,23.0,+36.703,9.0
Julián Simón,Honda,23.0,+36.767,11.0
Shuhei Aoyama,Honda,23.0,+39.592,13.0
Roberto Locatelli,Gilera,23.0,+48.028,15.0
Jules Cluzel,Honda,23.0,+1:07.085,25.0
Karel Abraham,Aprilia,23.0,+1:11.868,20.0
Taro Sekiguchi,Aprilia,23.0,+1:17.387,18.0
Alex Debon,Aprilia,23.0,+1:19.654,3.0
Ratthapark Wilairot,Honda,23.0,+1:19.822,22.0
Alex Baldolini,Aprilia,23.0,+1:23.243,19.0
Eugene Laverty,Honda,23.0,+1:35.553,23.0
Aleix Espargaró,Aprilia,23.0,+1:42.529,14.0
Anthony West,Aprilia,23.0,+1:55.832,16.0
Imre Toth,Aprilia,22.0,+1 Lap,26.0
Álvaro Molina,Aprilia,22.0,+1 Lap,24.0
Yuki Takahashi,Honda,22.0,Accident,10.0
Dirk Heidolf,Aprilia,15.0,Retirement,17.0
Fabrizio Lai,Aprilia,11.0,Retirement,21.0
