Year,Production,Composer,Conductor,Director
2014.0,The Snowmaiden [ citation needed ],Rimsky-Korsakov,Charles Peebles,Christopher Cowell
2013.0,I Lombardi,Verdi,Charles Peebles,Jamie Hayes
2012.0,Acante et Céphise,Rameau,Charles Peebles,Christopher Cowell
2011.0,The Three Pintos (Die Drei Pintos),Weber / Mahler,Charles Peebles,John Ramster
2010.0,Genoveva,Schumann,Charles Peebles,Emma Rivlin
2009.0,Macbeth *,Bloch,Charles Peebles,John Ramster
2008.0,Fiesque *,Lalo,Charles Peebles,Emma Rivlin
2007.0,Camacho's Wedding,Mendelssohn,Charles Peebles,Duncan Macfarland
2006.0,Alfonso und Estrella,Schubert,Charles Peebles,Stephen Barlow
2005.0,Whittington,Offenbach,Charles Peebles,Jamie Hayes
2004.0,Vanda *,Dvořák,Charles Peebles,Matthias Janser
2003.0,Ciboulette*,Hahn,Charles Peebles,Daniele Guerra
2002.0,Benvenuto Cellini,Berlioz,Charles Peebles,Jamie Hayes
2001.0,Kullervo*,Sallinen,David Drummond,Paul Curran
