Rank,Map Reference Number,Census Statistical Area,2007 Population,Lake(s)
1.0,16.0,"Chicago-Naperville-Michigan City, IL-IN-WI CSA",9745165.0,Lake Michigan
2.0,15.0,"Detroit-Warren-Flint, MI CSA",5405918.0,Lake Erie and Lake Huron
3.0,21.0,"Cleveland-Akron-Elyria, OH CSA",2896968.0,Lake Erie
4.0,13.0,"Milwaukee-Racine-Waukesha, WI CSA",1739497.0,Lake Michigan
5.0,14.0,"Grand Rapids-Muskegon-Holland, MI CSA",1323095.0,Lake Michigan
6.0,24.0,"Buffalo-Niagara-Cattaraugus, NY CSA",1208270.0,Lake Erie and Lake Ontario
7.0,25.0,"Rochester-Batavia-Seneca Falls, NY CSA",1122845.0,Lake Ontario
8.0,26.0,"Syracuse-Auburn, NY CSA",725359.0,Lake Ontario
9.0,19.0,"Toledo-Fremont, OH CSA",711952.0,Lake Erie
10.0,17.0,"Kalamazoo-Portage, MI MSA",323264.0,Lake Michigan
11.0,12.0,"Saginaw-Bay City-Saginaw Township North, MI CSA",309785.0,Lake Huron
12.0,9.0,"Green Bay, WI MSA",301131.0,Lake Michigan
13.0,22.0,"Erie, PA MSA",279092.0,Lake Erie
14.0,1.0,"Duluth, MN-WI MSA",274308.0,Lake Superior
15.0,18.0,"Niles-Benton Harbor, MI MSA",159589.0,Lake Michigan
16.0,7.0,"Traverse City, MI μSA",142075.0,Lake Michigan
17.0,23.0,"Jamestown-Dunkirk-Fredonia, NY μSA",133945.0,Lake Erie
18.0,27.0,"Watertown-Fort Drum, NY μSA",117201.0,Lake Ontario
19.0,11.0,"Sheboygan, WI MSA",114504.0,Lake Michigan
20.0,10.0,"Manitowoc, WI μSA",80928.0,Lake Michigan
21.0,20.0,"Sandusky, OH MSA",77323.0,Lake Erie
22.0,6.0,"Marinette, WI-MI μSA",66820.0,Lake Michigan
23.0,3.0,"Marquette, MI μSA",65216.0,Lake Superior
24.0,4.0,"Sault Ste. Marie, MI μSA",38922.0,Lake Huron and Lake Superior
25.0,5.0,"Escanaba, MI μSA",37367.0,Lake Michigan
26.0,2.0,"Houghton, MI μSA",37352.0,Lake Superior
27.0,8.0,"Alpena, MI μSA",29707.0,Lake Huron
