Wrestler,Reigns,Days held,Location,Successful defenses,Event
Johnny Hotbody Category:Articles with hCards,1,31.0,"Philadelphia, PA",—,Live event
Vacated,—,0.0,N/A,N/A,N/A
Glen Osbourne Category:Articles with hCards,1,124.0,"Philadelphia, PA",—,Live event
Jimmy Snuka Category:Articles with hCards,1,203.0,"Radnor, PA",—,Hardcore TV #3
Terry Funk Category:Articles with hCards,1,33.0,"Philadelphia, PA",—,NWA Bloodfest: Part 1
Sabu Category:Articles with hCards,1,113.0,"Philadelphia, PA",—,November to Remember
The Tazmaniac Category:Articles with hCards,1,0.0,"Philadelphia, PA",—,Hardcore TV #47
J.T. Smith Category:Articles with hCards,1,41.0,"Philadelphia, PA",—,Hardcore TV #48
The Pitbull Category:Articles with hCards,1,27.0,"Philadelphia, PA",—,Live event
Mikey Whipwreck Category:Articles with hCards,1,92.0,"Philadelphia, PA",—,Hardcore TV #56
Jason Category:Articles with hCards,1,83.0,"Philadelphia, PA",—,Hardcore Heaven
2 Cold Scorpio Category:Articles with hCards,1,0.0,"Hamburg, PA",—,Hardcore TV #82
Dean Malenko Category:Articles with hCards,1,134.0,"Hamburg, PA",—,Hardcore TV #83
2 Cold Scorpio Category:Articles with hCards,2,21.0,"Philadelphia, PA",—,Hardcore TV #100
Eddie Guerrero Category:Articles with hCards,1,104.0,"Philadelphia, PA",—,Three Way Dance
Dean Malenko Category:Articles with hCards,2,7.0,"Tampa, FL",—,Live event
Eddie Guerrero Category:Articles with hCards,2,28.0,"Middletown, NY",—,Hardcore TV #120
2 Cold Scorpio Category:Articles with hCards,3,126.0,"Jim Thorpe, PA",—,Hardcore TV #124
Mikey Whipwreck Category:Articles with hCards,2,7.0,"New York, NY",—,Holiday Hell
2 Cold Scorpio Category:Articles with hCards,4,127.0,"Philadelphia, PA",—,House Party
Shane Douglas Category:Articles with hCards,1,21.0,"Philadelphia, PA",—,A Matter of Respect
Pitbull #2 Category:Articles with hCards,1,21.0,"Philadelphia, PA",—,Fight the Power
Chris Jericho Category:Articles with hCards,1,21.0,"Philadelphia, PA",—,Hardcore Heaven
Shane Douglas Category:Articles with hCards,2,329.0,"Philadelphia, PA",30,Heat Wave
Tazz Category:Articles with hCards,2,267.0,"Philadelphia, PA",43,Wrestlepalooza
Bam Bam Bigelow Category:Articles with hCards,1,34.0,"Asbury Park, NJ",5,Living Dangerously
Rob Van Dam Category:Articles with hCards,1,700.0,"Buffalo, NY",121,Hardcore TV #259
Super Crazy Category:Articles with hCards,1,27.0,"Danbury, CT",8,Living Dangerously
Yoshihiro Tajiri Category:Articles with hCards,1,14.0,"Buffalo, NY",1,ECW on TNN#34
Rhino Category:Articles with hCards,1,126.0,"Philadelphia, PA",11,CyberSlam
Kid Kash Category:Articles with hCards,1,14.0,"New York, NY",2,ECW on TNN#56
Rhino Category:Articles with hCards,2,214.0,"Mississauga, ON",10,ECW on TNN#58
