Townland,Area( acres ),Barony,Civil parish,Poor law union
Ballincurrig,281.0,Courceys,Ringrone,Kinsale
Ballinroe,110.0,Courceys,Ringrone,Kinsale
Ballinspittle,12.0,Courceys,Ringrone,Kinsale
Ballinvredig,248.0,Courceys,Ringrone,Kinsale
Ballycatteen,325.0,Courceys,Templetrine,Kinsale
Ballyhander,303.0,Courceys,Ringrone,Kinsale
Ballymackean,295.0,Courceys,Ringrone,Kinsale
Ballymacredmond,61.0,Courceys,Ringrone,Kinsale
Ballynagaragh,297.0,Courceys,Templetrine,Kinsale
Ballyrub,57.0,Courceys,Ringrone,Kinsale
Carrigvulleen,251.0,Courceys,Ringrone,Kinsale
Coolbane,355.0,Courceys,Ringrone,Kinsale
Coolyrahilly,190.0,Courceys,Ringrone,Kinsale
Courtaparteen,153.0,Courceys,Kilroan,Kinsale
Crohane,124.0,Courceys,Kilroan,Kinsale
Currahoo,273.0,Courceys,Ringrone,Kinsale
Dooneen Lower,161.0,Courceys,Kilroan,Kinsale
Dooneen Upper,117.0,Courceys,Kilroan,Kinsale
Downmacpatrick (or Oldhead),202.0,Courceys,Ringrone,Kinsale
Dromdough,332.0,Courceys,Ringrone,Kinsale
Garrettstown,967.0,Courceys,Templetrine,Kinsale
Garrylucas,151.0,Courceys,Ringrone,Kinsale
Gortnacrusha North,279.0,Courceys,Templetrine,Kinsale
Gortnacrusha South,257.0,Courceys,Templetrine,Kinsale
Kilcolman,305.0,Courceys,Ringrone,Kinsale
Kilkerran North,260.0,Courceys,Ringrone,Kinsale
Kilkerran South,230.0,Courceys,Ringrone,Kinsale
Killowny,230.0,Courceys,Kilroan,Kinsale
Kilmore,418.0,Courceys,Templetrine,Kinsale
Kilnacloona,241.0,Courceys,Ringrone,Kinsale
Knockgorm,107.0,Courceys,Kilroan,Kinsale
Knocknabinny,226.0,Courceys,Ringrone,Kinsale
Lispatrick Lower,304.0,Courceys,Ringrone,Kinsale
Lispatrick Upper,271.0,Courceys,Ringrone,Kinsale
Oldcourt,334.0,Courceys,Ringrone,Kinsale
Oldhead (or Downmacpatrick),202.0,Courceys,Ringrone,Kinsale
