Rank,Stadium,Capacity,Location,County
1.0,Croke Park,82300.0,Dublin,GAA HQ
2.0,Semple Stadium,53500.0,Thurles,Tipperary GAA
3.0,Gaelic Grounds,49866.0,Limerick,Limerick GAA
4.0,Páirc Uí Chaoimh,43550.0,Cork,Cork GAA
5.0,Fitzgerald Stadium,43180.0,Killarney,Kerry GAA
6.0,McHale Park,43000.0,Castlebar,Mayo GAA
7.0,St Tiernach's Park,36000.0,Clones,Monaghan GAA
8.0,Pearse Stadium,33000.0,Galway,Galway GAA
9.0,Casement Park,32500.0,Belfast,Antrim GAA
10.0,Breffni Park,32000.0,Cavan,Cavan GAA
11.0,O'Moore Park,27000.0,Portlaoise,Laois GAA
12.0,Healy Park,26500.0,Omagh,Tyrone GAA
13.0,Nowlan Park,24000.0,Kilkenny,Kilkenny GAA
14.0,Páirc an Cheiltigh,22000.0,Derry,Derry GAA
15.0,Dr. Cullen Park,21000.0,Carlow,Carlow GAA
16.0,O'Connor Park,20000.0,Tullamore,Offaly GAA
16.0,Wexford Park,20000.0,Wexford,Wexford GAA
16.0,Páirc Esler,20000.0,Newry,Down GAA
16.0,Brewster Park,20000.0,Enniskillen,Fermanagh GAA
20.0,Athletic Grounds,19500.0,Armagh,Armagh GAA
21.0,Markievicz Park,19000.0,Sligo,Sligo GAA
22.0,Dr. Hyde Park,18500.0,Roscommon,Roscommon GAA
23.0,MacCumhail Park,18000.0,Ballybofey,Donegal GAA
24.0,Walsh Park,17000.0,Waterford,Waterford GAA
25.0,Páirc Uí Rinn,16500.0,Cork,Cork GAA
26.0,Austin Stack Park,15000.0,Tralee,Kerry GAA
26.0,Fraher Field,15000.0,Dungarvan,Waterford GAA
28.0,Cusack Park (Ennis),14864.0,Ennis,Clare GAA
29.0,Parnell Park,13500.0,"Donnycarney , Dublin",Dublin GAA
30.0,Cusack Park (Mullingar),11000.0,Mullingar,Westmeath GAA
30.0,St Brendan's Park,11000.0,Birr,Offaly GAA
32.0,O'Byrne Park,10000.0,Wicklow,Wicklow GAA
32.0,Páirc Tailteann,10000.0,Navan,Meath GAA
32.0,Pearse Park,10000.0,Longford,Longford GAA
35.0,Páirc Seán Mac Diarmada,9331.0,Carrick-on-Shannon,Leitrim GAA
36.0,St Jarlath's Park,6700.0,Tuam,Galway GAA
37.0,St Conleth's Park,6200.0,Newbridge,Kildare GAA
38.0,McKenna Park,5000.0,Ballycran,Down GAA
38.0,Emerald GAA Grounds,5000.0,Ruislip,London GAA
40.0,Shamrock Field,4000.0,St John's,Canada GAA
41.0,Drogheda Park,3500.0,Drogheda,Louth GAA
42.0,Gaelic Park,2000.0,New York City,New York GAA
43.0,Páirc Phroinsías,1000.0,Clara,Offaly GAA
