Year,Division,League,Regular Season,Playoffs,Open Cup
1996.0,3.0,USISL Pro League,"6th, Northeast",Did not qualify,Did not qualify
1997.0,3.0,USISL D-3 Pro League,"3rd, Northeast",Semifinals,Did not qualify
1998.0,3.0,USISL D-3 Pro League,"2nd, Northeast",Final,Did not qualify
1999.0,3.0,USL D-3 Pro League,"3rd, Northern",Conference Finals,Did not qualify
2000.0,3.0,USL D-3 Pro League,"3rd, Northern",Conference Quarterfinals,Did not qualify
2001.0,3.0,USL D-3 Pro League,"2nd, Northern",Conference Semifinals,Did not qualify
2002.0,3.0,USL D-3 Pro League,"4th, Northern",Did not qualify,Did not qualify
2003.0,3.0,USL Pro Select League,"2nd, Northern",Regional Finals,3rd Round
2004.0,3.0,USL Pro Soccer League,"1st, Northern",Semifinals,2nd Round
2005.0,3.0,USL Second Division,8th,Did not qualify,Did not qualify
2006.0,3.0,USL Second Division,5th,Did not qualify,3rd Round
2007.0,3.0,USL Second Division,9th,Did not qualify,Did not qualify
2008.0,4.0,USL PDL,"4th, New England",Did not qualify,Did not qualify
2009.0,4.0,USL PDL,"8th, Northeast",Did not qualify,Did not qualify
2010.0,4.0,USL PDL,"7th, Northeast",Did not qualify,Did not qualify
2011.0,4.0,USL PDL,"2nd, Northeast",Conference Semifinals,Did not qualify
2012.0,4.0,USL PDL,"6th, Northeast",Did not qualify,Did not qualify
