102.,28 February,Friendly,Croatia,Austria
103.0,24 March,World Cup 2002 qualifier,Croatia,Latvia
104.0,25 April,Friendly,Croatia,Greece
105.0,2 June,World Cup 2002 qualifier,Croatia,San Marino
106.0,6 June,World Cup 2002 qualifier,Latvia,Croatia
107.0,15 August,Friendly,Ireland,Croatia
108.0,1 September,World Cup 2002 qualifier,Scotland,Croatia
109.0,5 September,World Cup 2002 qualifier,San Marino,Croatia
110.0,6 October,World Cup 2002 qualifier,Croatia,Belgium
111.0,10 November,Friendly,South Korea,Croatia
112.0,13 November,Friendly,South Korea,Croatia
