Year(s),Final television commentator,Radio commentator,Spokesperson,Semi-final television commentator,Semi-final second television commentator
1956.0,Wilfrid Thomas,Unknown,UK did not participate,No semi-finals,No semi-finals
1957.0,Berkeley Smith,Tom Sloan,David Jacobs,No semi-finals,No semi-finals
1958.0,Peter Haigh,Tom Sloan,UK did not participate,No semi-finals,No semi-finals
1959.0,Tom Sloan,Pete Murray,Pete Murray,No semi-finals,No semi-finals
1960.0,David Jacobs,Pete Murray,Nick Burrell-Davis,No semi-finals,No semi-finals
1961.0,Tom Sloan,Pete Murray,Michael Aspel,No semi-finals,No semi-finals
1962.0,David Jacobs,Peter Haigh,Alex Macintosh,No semi-finals,No semi-finals
1963.0,David Jacobs,Michael Aspel,Nicholas Parsons,No semi-finals,No semi-finals
1964.0,David Jacobs,Tom Sloan,Michael Aspel,No semi-finals,No semi-finals
1965.0,David Jacobs,David Gell,Michael Aspel,No semi-finals,No semi-finals
1966.0,David Jacobs,John Dunn,Michael Aspel,No semi-finals,No semi-finals
1967.0,Rolf Harris,Richard Baker,Michael Aspel,No semi-finals,No semi-finals
1968.0,No commentator,Pete Murray,Michael Aspel,No semi-finals,No semi-finals
1969.0,Michael Aspel,Tony Brandon,Colin-Ward Lewis,No semi-finals,No semi-finals
1970.0,David Gell,Tony Brandon,Colin-Ward Lewis,No semi-finals,No semi-finals
1971.0,Dave Lee Travis,Terry Wogan,No spokesperson,No semi-finals,No semi-finals
1972.0,Tom Fleming,Pete Murray,No spokesperson,No semi-finals,No semi-finals
1973.0,Terry Wogan,Pete Murray,No spokesperson,No semi-finals,No semi-finals
1974.0,David Vine,Terry Wogan,Colin-Ward Lewis,No semi-finals,No semi-finals
1975.0,Pete Murray,Terry Wogan,Ray Moore,No semi-finals,No semi-finals
1976.0,Michael Aspel,Terry Wogan,Ray Moore,No semi-finals,No semi-finals
1977.0,Pete Murray,Terry Wogan,Colin Berry,No semi-finals,No semi-finals
1978.0,Terry Wogan,Ray Moore,Colin Berry,No semi-finals,No semi-finals
1979.0,John Dunn,Terry Wogan,Colin Berry,No semi-finals,No semi-finals
1980.0,Terry Wogan,Steve Jones,Ray Moore,No semi-finals,No semi-finals
1981.0,Terry Wogan,Ray Moore,Colin Berry,No semi-finals,No semi-finals
1982.0,Terry Wogan,Ray Moore,Colin Berry,No semi-finals,No semi-finals
1983.0,Terry Wogan,Ray Moore,Colin Berry,No semi-finals,No semi-finals
1984.0,Terry Wogan,Ray Moore,Colin Berry,No semi-finals,No semi-finals
1985.0,Terry Wogan,Ray Moore,Colin Berry,No semi-finals,No semi-finals
1986.0,Terry Wogan,Ray Moore,Colin Berry,No semi-finals,No semi-finals
1987.0,Terry Wogan,Ray Moore,Colin Berry,No semi-finals,No semi-finals
1988.0,Terry Wogan,Ken Bruce,Colin Berry,No semi-finals,No semi-finals
1989.0,Terry Wogan,Ken Bruce,Colin Berry,No semi-finals,No semi-finals
1990.0,Terry Wogan,Ken Bruce,Colin Berry,No semi-finals,No semi-finals
1991.0,Terry Wogan,Ken Bruce,Colin Berry,No semi-finals,No semi-finals
1992.0,Terry Wogan,Ken Bruce,Colin Berry,No semi-finals,No semi-finals
1993.0,Terry Wogan,Ken Bruce,Colin Berry,No semi-finals,No semi-finals
1994.0,Terry Wogan,Ken Bruce,Colin Berry,No semi-finals,No semi-finals
1995.0,Terry Wogan,Ken Bruce,Colin Berry,No semi-finals,No semi-finals
1996.0,Terry Wogan,Ken Bruce,Colin Berry,No semi-finals,No semi-finals
1997.0,Terry Wogan,Ken Bruce,Colin Berry,No semi-finals,No semi-finals
1998.0,Terry Wogan,Ken Bruce,Ken Bruce,No semi-finals,No semi-finals
1999.0,Terry Wogan,Ken Bruce,Colin Berry,No semi-finals,No semi-finals
2000.0,Terry Wogan,Ken Bruce,Colin Berry,No semi-finals,No semi-finals
2001.0,Terry Wogan,Ken Bruce,Colin Berry,No semi-finals,No semi-finals
2002.0,Terry Wogan,Ken Bruce,Colin Berry,No semi-finals,No semi-finals
2003.0,Terry Wogan,Ken Bruce,Lorraine Kelly,No semi-finals,No semi-finals
2004.0,Terry Wogan,Ken Bruce,Lorraine Kelly,Paddy O'Connell,No dual commentator
2005.0,Terry Wogan,Ken Bruce,Cheryl Baker,Paddy O'Connell,No dual commentator
2006.0,Terry Wogan,Ken Bruce,Fearne Cotton,Paddy O'Connell,No dual commentator
2007.0,Terry Wogan,Ken Bruce,Fearne Cotton,Paddy O'Connell,Sarah Cawood
2008.0,Terry Wogan,Ken Bruce,Carrie Grant,Paddy O'Connell,Caroline Flack
2009.0,Graham Norton,Ken Bruce,Duncan James,Paddy O'Connell,Sarah Cawood
2010.0,Graham Norton,Ken Bruce,Scott Mills,Paddy O'Connell,Sarah Cawood
2011.0,Graham Norton,Ken Bruce,Alex Jones,Scott Mills,Sara Cox
2012.0,Graham Norton,Ken Bruce,Scott Mills,Scott Mills,Sara Cox
2013.0,Graham Norton,Ken Bruce,Scott Mills,Scott Mills,Ana Matronic
