Series #,Season #,Title,Director,Writer(s),Airdate
439.0,1.0,""" The Wreckers """,Robert Totten Category:Articles with hCards,Hal Sitowitz Category:Articles with hCards,"September 11, 1967"
440.0,2.0,""" Cattle Barons """,Gunnar Hellstrom Category:Articles with hCards,Clyde Ware Category:Articles with hCards,"September 18, 1967"
441.0,3.0,""" The Prodigal """,Bernard McEveety Category:Articles with hCards,"Calvin Clements, Sr. Category:Articles with hCards","September 25, 1967"
442.0,4.0,""" Vengeance "" – Part 1",Richard C. Sarafian Category:Articles with hCards,"Calvin Clements, Sr. Category:Articles with hCards","October 2, 1967"
443.0,5.0,""" Vengeance "" – Part 2",Richard C. Sarafian Category:Articles with hCards,"Calvin Clements, Sr. Category:Articles with hCards","October 9, 1967"
444.0,6.0,""" A Hat """,Robert Totten Category:Articles with hCards,Ron Bishop Category:Articles with hCards,"October 16, 1967"
445.0,7.0,""" Hard Luck Henry """,John Rich Category:Articles with hCards,Warren Douglas Category:Articles with hCards,"October 23, 1967"
447.0,9.0,""" The Pillagers """,Vincent McEveety Category:Articles with hCards,"Calvin Clements, Sr. Category:Articles with hCards","November 6, 1967"
448.0,10.0,""" Prairie Wolfer """,Robert Butler Category:Articles with hCards,"Calvin Clements, Sr. Category:Articles with hCards","November 13, 1967"
450.0,12.0,""" Death Train """,Gunnar Hellstrom Category:Articles with hCards,Ken Trevey Category:Articles with hCards,"November 27, 1967"
451.0,13.0,""" Rope Fever """,David Alexander Category:Articles with hCards,Chris Rellas Category:Articles with hCards,"December 4, 1967"
453.0,15.0,""" Baker's Dozen """,Irving J. Moore Category:Articles with hCards,Charles Joseph Category:Articles with hCards,"December 25, 1967"
454.0,16.0,""" The Victim """,Vincent McEveety Category:Articles with hCards,Hal Sitowitz Category:Articles with hCards,"January 1, 1968"
455.0,17.0,""" Deadman's Law """,John Rich Category:Articles with hCards,"Calvin Clements, Jr. Category:Articles with hCards","January 8, 1968"
457.0,19.0,""" Blood Money """,Robert Totten Category:Articles with hCards,Hal Sitowitz Category:Articles with hCards,"January 22, 1968"
458.0,20.0,""" Hill Girl """,Robert Totten Category:Articles with hCards,"Calvin Clements, Sr. Category:Articles with hCards","January 29, 1968"
459.0,21.0,""" The Gunrunners """,Irving J. Moore Category:Articles with hCards,Hal Sitowitz Category:Articles with hCards,"February 5, 1968"
460.0,22.0,""" The Jackals """,Alvin Ganzer Category:Articles with hCards,"Calvin Clements, Jr. Category:Articles with hCards","February 12, 1968"
461.0,23.0,""" The First People """,Robert Totten Category:Articles with hCards,"Calvin Clements, Sr. Category:Articles with hCards","February 19, 1968"
462.0,24.0,""" Mr. Sam'l """,Gunnar Hellstrom Category:Articles with hCards,Harry Kronman Category:Articles with hCards,"February 26, 1968"
