Seed,Rank,Player,Points,Points defending,Points won,New points,Status
1.0,1.0,Serena Williams,8475.0,500,500.0,8475.0,Quarterfinals lost to Samantha Stosur [7]
2.0,2.0,Venus Williams,6386.0,160,280.0,6506.0,4th round lost to Nadia Petrova [19]
3.0,3.0,Caroline Wozniacki,5630.0,160,500.0,5970.0,Quarterfinals lost to Francesca Schiavone [17]
4.0,4.0,Jelena Janković,5160.0,280,900.0,5780.0,Semifinals lost to Samantha Stosur [7]
5.0,5.0,Elena Dementieva,4830.0,160,900.0,5570.0,Semifinals lost to Francesca Schiavone [17]
6.0,6.0,Svetlana Kuznetsova,4661.0,2000,160.0,2821.0,3rd round lost to Maria Kirilenko [30]
8.0,8.0,Agnieszka Radwańska,4190.0,280,100.0,4010.0,2nd round lost to Yaroslava Shvedova
9.0,9.0,Dinara Safina,4156.0,1400,5.0,2761.0,1st round lost to Kimiko Date-Krumm
10.0,11.0,Victoria Azarenka,3665.0,500,5.0,3170.0,1st round lost to Gisela Dulko
11.0,12.0,Li Na,3515.0,280,160.0,3395.0,3rd round lost to Francesca Schiavone [17]
12.0,13.0,Maria Sharapova,3350.0,500,160.0,3010.0,3rd round lost to Justine Henin [22]
13.0,14.0,Marion Bartoli,3186.0,100,160.0,3246.0,3rd round lost to Shahar Pe'er [18]
14.0,15.0,Flavia Pennetta,3175.0,5,280.0,3450.0,4th round lost to Caroline Wozniacki [3]
15.0,16.0,Aravane Rezaï,2875.0,280,160.0,2755.0,3rd round lost to Nadia Petrova [18]
16.0,17.0,Yanina Wickmayer,3050.0,100,160.0,3110.0,3rd round lost to Daniela Hantuchová [22]
18.0,19.0,Shahar Pe'er,2895.0,0,280.0,3175.0,4th round lost to Serena Williams [1]
19.0,20.0,Nadia Petrova,2795.0,100,500.0,3195.0,Quarterfinals lost to Elena Dementieva [5]
20.0,21.0,María José Martínez Sánchez,2635.0,160,5.0,2480.0,1st round lost to Akgul Amanmuradova
21.0,22.0,Vera Zvonareva,2625.0,0,100.0,2725.0,2nd round lost to Anastasia Rodionova
22.0,23.0,Justine Henin,2575.0,0,280.0,2855.0,4th round lost to Samantha Stosur [7]
23.0,24.0,Daniela Hantuchová,2010.0,5,280.0,2285.0,4th round lost Jelena Janković [4]
24.0,25.0,Lucie Šafářová,2075.0,100,100.0,2075.0,2nd round lost to Polona Hercog
25.0,26.0,Zheng Jie,2325.0,100,100.0,2325.0,2nd round lost to Anastasia Pivovarova [Q]
26.0,27.0,Dominika Cibulková,2005.0,900,160.0,1265.0,3rd round lost to Venus Williams [2]
27.0,28.0,Alona Bondarenko,1700.0,5,160.0,1855.0,3rd round lost to Jelena Janković [4]
28.0,29.0,Alisa Kleybanova,1855.0,5,160.0,2010.0,3rd round lost to Yaroslava Shvedova
29.0,30.0,Anastasia Pavlyuchenkova,1850.0,160,160.0,1850.0,3rd round lost to Serena Williams [1]
30.0,31.0,Maria Kirilenko,1710.0,5,280.0,1985.0,4th round lost to Francesca Schiavone [17]
31.0,32.0,Alexandra Dulgheru,1655.0,0(30),160.0,1785.0,3rd round lost to Caroline Wozniacki [3]
