Municipality,League of Communists,Peoples Party,Union of Reform Forces,Democratic Coalition,DSSP,Total seats
Bar,21.0,1.0,29.0,4.0,0.0,55.0
Bijelo Polje,30.0,10.0,2.0,23.0,0.0,65.0
Budva,28.0,7.0,5.0,0.0,0.0,40.0
Cetinje,36.0,0.0,11.0,0.0,0.0,47.0
Danilovgrad,42.0,2.0,1.0,0.0,0.0,45.0
Herceg Novi,40.0,15.0,8.0,0.0,2.0,65.0
Ivangrad,36.0,10.0,3.0,6.0,0.0,55.0
Kolašin,40.0,8.0,1.0,0.0,0.0,49.0
Kotor,40.0,9.0,16.0,0.0,0.0,65.0
Mojkovac,55.0,8.0,0.0,0.0,0.0,63.0
Nikšić,65.0,4.0,0.0,0.0,0.0,69.0
Plav,13.0,0.0,26.0,6.0,0.0,45.0
Plužine,25.0,6.0,0.0,0.0,0.0,31.0
Pljevlja,32.0,17.0,0.0,6.0,0.0,55.0
Rožaje,8.0,0.0,12.0,44.0,0.0,64.0
Šavnik,33.0,2.0,0.0,0.0,0.0,35.0
Titograd,68.0,8.0,11.0,4.0,0.0,91.0
Tivat,23.0,5.0,17.0,0.0,0.0,45.0
Ulcinj,8.0,0.0,7.0,30.0,0.0,45.0
