Year,Men's singles,Women's singles,Men's doubles,Women's doubles,Mixed doubles
1985.0,Mark Leadbeater,Sally Podger,Steve Watson Ian Goodfellow,Sally Podger Wendy Luxton,Steve Watson Jean Lawson
1987.0,Jimmy McKenna,Sally Podger,Armann Thorvaldsson Adolfsson,Sally Podger Wendy Luxton,Steve Watson Jean Lawson
1989.0,Armann Thorvaldsson,Thordis Edwald,Armann Thorvaldsson Snorri Ingvarsson,Jean Lawson Sally Adams,Steve Watson Jean Lawson
1991.0,Jimmy McKenna,Gudrún Júlíusdóttír,Jimmy McKenna Mark Leadbeater,Wendy Trebert Sarah Le Moigne,Steve Watson Sally Adams
1993.0,Darren Le Tissier,Elsan Nielsen,Darren Le Tissier Wangsa,Hutchins Hutchins,Darren Le Tissier Hunt
1995.0,Mark Leadbeater,Elizabeth Cann,Darren Le Tissier Mark Leadbeater,Elizabeth Cann Danielle Le Feuvre,Mark Leadbeater Sarah Le Moigne
1997.0,Glenn MacFarlane,Elizabeth Cann,Glenn MacFarlane Mark Leadbeater,Elizabeth Cann Danielle Le Feuvre,Mark Leadbeater Sarah Le Moigne
1999.0,Darren Le Tissier,Danielle Le Feuvre,Darren Le Tissier Glenn MacFarlane,Kerry Duffin Danielle Le Feuvre,Glenn MacFarlane Sarah Le Moigne
2001.0,Glenn MacFarlane,Kerry Duffin,Glenn MacFarlane Paul Le Tocq,Kerry Duffin Krystle Matthews,Glenn MacFarlane Sarah Le Moigne
2003.0,Darren Le Tissier,Elena Johnson,Darren Le Tissier Kevin Le Moigne,Sarah Garbutt Sally Wood,Darren Le Tissier Wendy Trebert
2005.0,Bror Madsen,Mariana Agathangelou,Anton Kriel Chris Cotillard,Mariana Agathangelou Kerry Coombs-Goodfellow,Chris Cotillard Mariana Agathangelou
2007.0,No competition,No competition,No competition,No competition,No competition
2009.0,Frederik Kjærholm Elsner,Sigrun Smith,Aksel Poulsen Bjartur Lamhauge,Gayle Lloyd Kiara Green,Christopher Cotillard Kimberly Ashton
2011.0,Joshua Green,Anna Showan,Niclas Højgaard Eysturoy Aksel Poulsen,Gayle Lloyd Kiara Green,Sarah Garbutt Paul Le Tocq
