Name of community,Area (km²),Population,Excised from,Date granted,Deed number
Badu Island,102.0,786.0,Shire of Torres,17 October 1985,21296126
Bamaga,67.6,869.0,Shire of Torres,27 October 1986,21328057
Boigu Island,71.7,295.0,Shire of Torres,17 October 1985,21296127
Cherbourg,31.3,1241.0,Shire of Murgon,28 August 1986,16929228
Dauan Island,3.6,120.0,Shire of Torres,17 October 1985,21296130
Doomadgee,1786.0,1181.0,Shire of Burke,1987,50184313
Erub (Darnley) Island,5.9,320.0,Shire of Torres,17 October 1985,21296129
Hammond Island,15.7,208.0,Shire of Torres,17 October 1985,21296131
Hope Vale,1115.4,856.0,Shire of Cook,27 July 1986,21321062
Iama (Yam) Island,1.7,363.0,Shire of Torres,17 October 1985,21296138
Injinoo,795.4,463.0,Shire of Cook,27 October 1986,21328058
Kowanyama,2571.9,1112.0,Shire of Carpentaria,23 July 1987,21345064
Kubin Island,152.5,226.0,Shire of Torres,17 October 1985,21296132
Lockhart River,3596.9,605.0,Shire of Cook,29 October 1987,21352021
Mabuiag Island,6.4,240.0,Shire of Torres,17 October 1985,21296133
Mapoon,550.1,262.0,Shire of Cook,26 April 1989,(none)
Napranum,2007.3,921.0,Shire of Cook,1 October 1989,21378037
New Mapoon,93.9,381.0,Shire of Torres,27 October 1986,21328060
Palm Island,71.0,2165.0,City of Townsville,27 October 1986,21328055
Pormpuraaw (Edward River),4362.0,653.0,Shire of Carpentaria,28 July 1987,21345063
Poruma (Coconut) Island,6.5,175.0,Shire of Torres,17 October 1985,21296128
St Pauls Island,18.5,239.0,Shire of Torres,17 October 1985,21296136
Saibai Island,104.5,368.0,Shire of Torres,17 October 1985,21296134
Seisia (Red) Island,2.6,184.0,Shire of Torres,29 October 1987,21352022
Ugar (Stephen) Island,0.4,57.0,Shire of Torres,17 October 1985,21296135
Umagico (Alau),53.4,267.0,Shire of Torres,27 October 1986,21328059
Warraber (Sue) Island,0.9,239.0,Shire of Torres,17 October 1985,21296137
Woorabinda,388.1,928.0,Shire of Duaringa,27 October 1986,30563185
Wujal Wujal (Bloomfield River),11.0,361.0,Shire of Cook,29 October 1987,21352023
Yarrabah (Cape Grafton),156.1,2599.0,Shire of Mulgrave,27 October 1986,21328056
Yorke Island,1.6,336.0,Shire of Torres,17 October 1985,21296139
