Game,Date,Opponent,Score,Location,Attendance,Record,Points
28.0,December 3,Florida Panthers,6 - 2,Verizon Center,18277.0,17-5-6,40.0
29.0,December 5,Philadelphia Flyers,8 - 2,Wachovia Center,19789.0,18-5-6,42.0
30.0,December 7,Tampa Bay Lightning,3 - 0,St. Pete Times Forum,12400.0,19-5-6,44.0
31.0,December 9,Buffalo Sabres,0 - 3,HSBC Arena,17982.0,19-6-6,44.0
32.0,December 11,Carolina Hurricanes,4 - 3 OT,Verizon Center,18277.0,20-6-6,46.0
33.0,December 12,Toronto Maple Leafs,3 - 6,Air Canada Centre,19316.0,20-7-6,46.0
34.0,December 15,Colorado Avalanche,6 - 1,Pepsi Center,14172.0,21-7-6,48.0
35.0,December 18,Vancouver Canucks,2 - 3,GM Place,18810.0,21-8-6,48.0
36.0,December 19,Edmonton Oilers,4 - 2,Rexall Place,16839.0,22-8-6,50.0
37.0,December 23,Buffalo Sabres,5 - 2,Verizon Center,18277.0,23-8-6,52.0
38.0,December 26,New Jersey Devils,4 - 1,Verizon Center,18277.0,24-8-6,54.0
39.0,December 28,Carolina Hurricanes,3 - 6,Verizon Center,18277.0,24-9-6,54.0
