No. in series,Title,Directed by,Written by,Original U.S. air date,Prod. code
2.0,"""Beach Bully Bingo""",David Kendall,Matt Wickline,"September22,2010",105.0
3.0,"""A Mermaid's Tail""",Andy Cadiff,Donald Beck,"September29,2010",104.0
4.0,"""Where the Wild Kings Are""",Victor Gonzalez,Kenny Smith,"October6,2010",107.0
5.0,"""Big Kings on Campus""","Leonard R. Garner, Jr.",Dave Polsky,"October13,2010",108.0
6.0,"""The Brady Hunch""",Victor Gonzalez,Sean Cunningham & Marc Dworkin,"October20,2010",110.0
7.0,"""Junga Ball""",Victor Gonzalez,Matt Wickline,"October27,2010",111.0
8.0,"""Revenge of the Mummy""",Adam Weissman,Dan Cross & David Hoge,"November8,2010",113.0
9.0,"""Oh Brother, Where Arr Thou?""",Andy Cadiff,Sean Cunningham & Marc Dworkin,"November15,2010",103.0
11.0,"""Pair of Jokers""",Adam Weissman,Donald Beck,"November29,2010",112.0
14.0,"""The Bite Stuff""",Victor Gonzalez,Dan Cross & David Hoge,"January17,2011",106.0
15.0,"""Brady Battles Boo-Mer""",Linda Mendoza,Sean Cunningham & Marc Dworkin,"January24,2011",114.0
16.0,"""The King and Eyes""","Leonard R. Garner, Jr.",Sean Cunningham & Marc Dworkin,"January31,2011",117.0
17.0,"""The Kings Beneath My Wings""",Robbie Countryman,Chris Atwood,"February7,2011",118.0
18.0,"""Fight School""",Linda Mendoza,Eric Lev,"April18,2011",116.0
19.0,"""The Trouble With Doubles""",Eric Dean Seaton,Lisa Muse Bryant,"April25,2011",119.0
