Rank,Heat,Name,Nationality,Time
1.0,3.0,Colin Jackson,Great Britain,13.31
2.0,2.0,Falk Balzer,Germany,13.47
3.0,4.0,Tony Jarrett,Great Britain,13.51
4.0,1.0,Mike Fenner,Germany,13.52
5.0,1.0,Jonathan Nsenga,Belgium,13.55
6.0,2.0,Artur Kohutek,Poland,13.58
7.0,4.0,Robin Korving,Netherlands,13.61
8.0,4.0,Staņislavs Olijars,Latvia,13.62
9.0,3.0,Florian Schwarthoff,Germany,13.64
10.0,2.0,Sebastien Thibault,France,13.65
11.0,1.0,Guntis Peders,Latvia,13.66
12.0,1.0,Vincent Clarico,France,13.68
13.0,3.0,Dan Philibert,France,13.78
14.0,2.0,Andrew Tulloch,Great Britain,13.81
15.0,1.0,Mauro Rossi,Italy,13.83
16.0,4.0,Sven Pieters,Belgium,13.85
17.0,1.0,Krzysztof Mehlich,Poland,13.89
18.0,3.0,Elmar Lichtenegger,Austria,13.96
19.0,4.0,Raphael Monachon,Switzerland,13.98
20.0,2.0,Peter Coghlan,Ireland,14.0
21.0,2.0,Ivan Bitzi,Switzerland,14.01
22.0,3.0,Igors Kazanovs,Latvia,14.04
23.0,3.0,Gaute Gundersen,Norway,14.17
24.0,4.0,Balázs Kovács,Hungary,14.22
25.0,4.0,Hipólito Montesinos,Spain,14.3
26.0,1.0,Sergey Khodanovich,Belarus,14.36
27.0,2.0,Dimitrios Siatounis,Greece,14.38
28.0,3.0,Zhivko Videnov,Bulgaria,14.44
29.0,4.0,Ronald Mehlich,Poland,14.44
30.0,1.0,Zoran Miljus,Croatia,14.48
