Year,Dates,Venue,Champion,Country,Score,To par,Margin of victory,Runner(s)-up,Purse ( $ ),Winners share ($)
2013.0,Aug 1–4,Old Course at St Andrews,Stacy Lewis,United States,280.0,–8,2 strokes,Na Yeon Choi Hee Young Park,2750000.0,402583.0
2012.0,Sep 13–16,Royal Liverpool Golf Club,Jiyai Shin,South Korea,279.0,–9,9 strokes,Inbee Park,2750000.0,428650.0
2011.0,July 28–31,Carnoustie Golf Links,Yani Tseng,Taiwan,272.0,–16,4 strokes,Brittany Lang,2500000.0,392133.0
2010.0,July 29–Aug 1,Royal Birkdale Golf Club,Yani Tseng,Taiwan,277.0,–11,1 stroke,Katherine Hull,2500000.0,408714.0
2009.0,July 30–Aug 2,Royal Lytham & St Annes Golf Club,Catriona Matthew,Scotland,285.0,–3,3 strokes,Karrie Webb,2200000.0,335000.0
2008.0,July 31–Aug 3,Sunningdale Golf Club,Jiyai Shin,South Korea,270.0,–18,3 strokes,Yani Tseng,2100000.0,314464.0
2007.0,Aug 2–5,Old Course at St Andrews,Lorena Ochoa,Mexico,287.0,–5,4 strokes,Maria Hjorth Jee Young Lee,2000000.0,320512.0
2006.0,Aug 3–6,Royal Lytham & St Annes Golf Club,Sherri Steinhauer,United States,281.0,–7,3 strokes,Sophie Gustafson Cristie Kerr,1800000.0,305440.0
2005.0,July 28–31,Royal Birkdale Golf Club,Jeong Jang,South Korea,272.0,–16,4 strokes,Sophie Gustafson,1800000.0,280208.0
2004.0,July 29–Aug 1,Sunningdale Golf Club,Karen Stupples,England,269.0,–19,5 strokes,Rachel Hetherington,1600000.0,290880.0
2003.0,July 31–Aug 3,Royal Lytham & St Annes Golf Club,Annika Sörenstam,Sweden,278.0,–10,1 stroke,Se Ri Pak,1600000.0,254880.0
2002.0,Aug 8–11,Turnberry - Ailsa Course,Karrie Webb,Australia,273.0,–15,2 strokes,Michelle Ellis Paula Martí,1500000.0,236383.0
