Mountain,Height (m),Height (ft),Range,Prominence (m),Parent mountain,First ascent
Mount Everest / Sagarmatha/ Chomolungma,8848.0,29029.0,Mahalangur Himalaya,8848.0,none,1953
K2 /Qogir/ Godwin Austen,8611.0,28251.0,Baltoro Karakoram,4017.0,Mount Everest,1954
Kangchenjunga,8586.0,28169.0,Kangchenjunga Himalaya,3922.0,Mount Everest,1955
Lhotse,8516.0,27940.0,Mahalangur Himalaya,610.0,Mount Everest,1956
Makalu,8485.0,27838.0,Mahalangur Himalaya,2386.0,Mount Everest,1955
Cho Oyu,8188.0,26864.0,Mahalangur Himalaya,2340.0,Mount Everest,1954
Dhaulagiri I,8167.0,26795.0,Dhaulagiri Himalaya,3357.0,K2,1960
Manaslu,8163.0,26781.0,Manaslu Himalaya,3092.0,Cho Oyu,1956
Nanga Parbat,8126.0,26660.0,Nanga Parbat Himalaya,4608.0,Dhaulagiri,1953
Annapurna I,8091.0,26545.0,Annapurna Himalaya,2984.0,Cho Oyu,1950
Gasherbrum I / Hidden Peak/K5,8080.0,26509.0,Baltoro Karakoram,2155.0,K2,1958
Broad Peak /K3,8051.0,26414.0,Baltoro Karakoram,1701.0,Gasherbrum I,1957
Gasherbrum II /K4,8034.0,26362.0,Baltoro Karakoram,1523.0,Gasherbrum I,1956
Shishapangma,8027.0,26335.0,Jugal Himalaya,2897.0,Cho Oyu,1964
Gyachung Kang,7952.0,26089.0,Mahalangur Himalaya,700.0,Cho Oyu,1964
Gasherbrum III,7946.0,26070.0,Baltoro Karakoram,355.0,Gasherbrum II,1975
Annapurna II,7937.0,26040.0,Annapurna Himalaya,2437.0,Annapurna I,1960
Gasherbrum IV,7932.0,26024.0,Baltoro Karakoram,715.0,Gasherbrum III,1958
Himalchuli,7893.0,25896.0,Manaslu Himalaya,1633.0,Manaslu,1960
Distaghil Sar,7884.0,25866.0,Hispar Karakoram,2525.0,K2,1960
Ngadi Chuli,7871.0,25823.0,Manaslu Himalaya,1020.0,Manaslu,1970
Nuptse,7864.0,25801.0,Mahalangur Himalaya,319.0,Lhotse,1961
Khunyang Chhish,7823.0,25666.0,Hispar Karakoram,1765.0,Distaghil Sar,1971
Masherbrum /K1,7821.0,25659.0,Masherbrum Karakoram,2457.0,Gasherbrum I,1960
Nanda Devi,7816.0,25643.0,Garhwal Himalaya,3139.0,Dhaulagiri,1936
Chomo Lonzo,7804.0,25604.0,Mahalangur Himalaya,590.0,Makalu,1954
Batura Sar,7795.0,25574.0,Batura Karakoram,3118.0,Distaghil Sar,1976
Kanjut Sar,7790.0,25558.0,Hispar Karakoram,1690.0,Khunyang Chhish,1959
Rakaposhi,7788.0,25551.0,Rakaposhi-Haramosh Karakoram,2818.0,Khunyang Chhish,1958
Namcha Barwa,7782.0,25531.0,Assam Himalaya,4106.0,Kangchenjunga,1992
Kamet,7756.0,25446.0,Garhwal Himalaya,2825.0,Nanda Devi,1931
Dhaulagiri II,7751.0,25430.0,Dhaulagiri Himalaya,2396.0,Dhaulagiri,1971
Saltoro Kangri /K10,7742.0,25400.0,Saltoro Karakoram,2160.0,Gasherbrum I,1962
Jannu,7711.0,25299.0,Kangchenjunga Himalaya,1036.0,Kangchenjunga,1962
Tirich Mir,7708.0,25289.0,Hindu Kush,3910.0,Batura Sar,1950
Molamenqing,7703.0,25272.0,Langtang Himalaya,430.0,Shishapangma,1981
Gurla Mandhata,7694.0,25243.0,Nalakankar Himalaya,2788.0,Dhaulagiri,1985
Saser Kangri I/K22,7672.0,25171.0,Saser Karakoram,2304.0,Gasherbrum I,1973
Chogolisa,7665.0,25148.0,Masherbrum Karakoram,1624.0,Masherbrum,1975
Dhaulagiri IV,7661.0,25135.0,Dhaulagiri Himalaya,469.0,Dhaulagiri II,1975
Kongur Tagh,7649.0,25095.0,Kongur Shan Kunlun,3585.0,Distaghil Sar,1981
Dhaulagiri V,7618.0,24993.0,Dhaulagiri Himalaya,340.0,Dhaulagiri IV,1975
Shispare,7611.0,24970.0,Batura Karakoram,1240.0,Batura Sar,1974
Trivor,7577.0,24859.0,Hispar Karakoram,980.0,Distaghil Sar,1960
Gangkhar Puensum,7570.0,24836.0,Kula Kangri Himalaya,2995.0,Kangchenjunga,unclimbed
Gongga Shan / Minya Konka,7556.0,24790.0,Daxue Shan,3642.0,Mount Everest,1932
Annapurna III,7555.0,24787.0,Annapurna Himalaya,703.0,Annapurna I,1961
