Heat,Lane,Name,Country,Mark
1.0,6.0,LoLo Jones,United States,7.82
1.0,5.0,Josephine Onyia,Spain,8.00
1.0,7.0,Yuliya Kondakova,Russia,8.01
1.0,2.0,Yevgeniya Snihur,Ukraine,8.06 PB
1.0,4.0,Micol Cattaneo,Italy,8.10
1.0,3.0,Nevin Yanit,Turkey,8.19
1.0,8.0,Cindy Billaud,France,8.19
1.0,1.0,Miriam Bobková,Slovakia,8.24
2.0,5.0,Anay Tejeda,Cuba,7.96
2.0,4.0,Candice Davis,United States,7.99
2.0,3.0,Lacena Golding-Clarke,Jamaica,8.00
2.0,7.0,Aleksandra Antonova,Russia,8.07
2.0,1.0,Sarah Claxton,United Kingdom,8.07 SB
2.0,8.0,Eline Berings,Belgium,8.10
2.0,2.0,Kia Davis,Liberia,8.10
2.0,6.0,Susanna Kallur,Sweden,DNS
