Institution,Location,Founded,Type,Joined,Nickname,Colors
Boston University,"Boston, MA",1839.0,Private,1973.0,Terriers,Scarlet & White
University of Connecticut,"Storrs, CT",1881.0,Public,1946.0,Huskies,National Flag Blue & White
University of Delaware,"Newark, DE",1743.0,Private and Public,1986.0,Fightin' Blue Hens,Royal Blue & Gold
College of the Holy Cross,"Worcester, MA",1843.0,Private,1971.0,Crusaders,Purple & White
James Madison University,"Harrisonburg, VA",1908.0,Public,1993.0,Dukes,Purple & Gold
University of Maine,"Orono, ME",1865.0,Public,1946.0,Black Bears,Dark Blue & Light Blue
University of Massachusetts Amherst,"Amherst, MA",1863.0,Public,1946.0,Aggies/Redmen/Minutemen,Maroon & White
University of New Hampshire,"Durham, NH",1866.0,Public,1946.0,Wildcats,UNH Blue & White
Northeastern University,"Boston, MA",1898.0,Private,1993.0,Huskies,Black & Red
University of Rhode Island,"Kingston, RI",1892.0,Public,1946.0,Rams,"Keaney blue, White, & Navy Blue"
University of Richmond,"Richmond, VA",1830.0,Private,1986.0,Spiders,UR Blue & UR Red
University of Vermont,"Burlington, VT",1791.0,Public,1946.0,Catamounts,Green & Gold
Villanova University,"Villanova, PA",1842.0,Private,1988.0,Wildcats,Blue & White
The College of William & Mary,"Williamsburg, VA",1693.0,Public,1993.0,Tribe,Green & Gold
