Year,Competition Description,Location,Apparatus,Rank-Final
2008.0,U.S. Championships,Boston,Floor Exercise,3.0
2008.0,U.S. Championships,Boston,All-Around,7.0
2008.0,U.S. Championships,Boston,Uneven Bars,8.0
2008.0,U.S. Olympic Team Trials,Philadelphia,Floor Exercise,6.0
2008.0,U.S. Olympic Team Trials,Philadelphia,All-Around,7.0
2008.0,U.S. Olympic Team Trials,Philadelphia,Vault,9.0
2008.0,U.S. Olympic Team Trials,Philadelphia,Uneven Bars,9.0
2008.0,U.S. Olympic Team Trials,Philadelphia,Balance Beam,11.0
2008.0,Gymnix International,"Montreal, Quebec",Team,1.0
2008.0,Gymnix International,"Montreal, Quebec",All-Around,2.0
2008.0,Gymnix International,"Montreal, Quebec",Uneven Bars,3.0
2010.0,CoverGirl Classic,"Chicago, Illinois",All-Around,1.0
2010.0,CoverGirl Classic,"Chicago, Illinois",Floor Exercise,2.0
2010.0,U.S. Championships,"Hartford, Connecticut",All-Around,2.0
2010.0,U.S. Championships,"Hartford, Connecticut",Floor Exercise,1.0
2010.0,U.S. Championships,"Hartford, Connecticut",Uneven Bars,3.0
2010.0,World Championships,"Rotterdam, Netherlands",Team,2.0
