Rank,Nation,Gold,Silver,Bronze,Total
1.0,Soviet Union,25.0,19.0,8.0,52.0
2.0,Germany,16.0,9.0,10.0,35.0
3.0,Canada,10.0,7.0,10.0,27.0
4.0,Russia,8.0,8.0,8.0,24.0
5.0,Austria,7.0,13.0,7.0,27.0
6.0,China,5.0,7.0,4.0,16.0
7.0,Hungary,5.0,3.0,5.0,13.0
8.0,France,4.0,1.0,1.0,6.0
9.0,Finland,3.0,4.0,0.0,7.0
10.0,Great Britain,3.0,3.0,5.0,11.0
11.0,United States,2.0,6.0,17.0,25.0
12.0,Belgium,2.0,0.0,1.0,3.0
13.0,East Germany,1.0,6.0,6.0,13.0
14.0,Czech Republic,1.0,0.0,0.0,1.0
15.0,Czechoslovakia,0.0,2.0,1.0,3.0
16.0,Sweden,0.0,1.0,3.0,4.0
17.0,Norway,0.0,1.0,2.0,3.0
18.0,Switzerland,0.0,1.0,0.0,1.0
19.0,Japan,0.0,0.0,1.0,1.0
19.0,Poland,1.0,0.0,0.0,1.0
