January–December 2012,Birth/2012,Birth/2011,Death/2012,Death/2011
Chechnya,259.0,289.0,54.0,53.0
Ingushetia,226.0,259.0,37.0,41.0
Dagestan,190.0,181.0,56.0,56.0
Kabardino-Balkaria,159.0,149.0,89.0,94.0
North Ossetia-Alania,150.0,145.0,106.0,108.0
Karachay-Cherkessia,135.0,131.0,97.0,97.0
Stavropol Krai,125.0,118.0,120.0,123.0
Ural Federal District,151.0,142.0,126.0,127.0
Khanty-Mansi Autonomous Okrug,176.0,164.0,63.0,65.0
Tyumen Oblast,172.0,161.0,84.0,86.0
Yamalo-Nenets Autonomous Okrug,167.0,156.0,53.0,54.0
Chelyabinsk Oblast,143.0,136.0,142.0,142.0
Sverdlovsk Oblast,143.0,135.0,139.0,141.0
Kurgan Oblast,138.0,127.0,159.0,157.0
Siberian Federal District,149.0,141.0,136.0,138.0
Tuva,265.0,271.0,111.0,109.0
Altai Republic,224.0,225.0,114.0,122.0
Buriatia,174.0,169.0,124.0,126.0
Zabaykalsky Krai,161.0,154.0,130.0,132.0
Khakassia,160.0,151.0,133.0,135.0
Irkutsk Oblast,159.0,153.0,138.0,140.0
Omsk Oblast,149.0,135.0,138.0,135.0
Krasnoyarsk Oblast,145.0,135.0,129.0,131.0
Novosibirsk Oblast,139.0,131.0,136.0,136.0
Kemerovo Oblast,137.0,127.0,151.0,155.0
Tomsk Oblast,136.0,131.0,119.0,122.0
Altai Krai,136.0,127.0,146.0,146.0
Far East Federal District,139.0,132.0,130.0,134.0
Sakha Republic,176.0,171.0,93.0,93.0
Amur Oblast,143.0,135.0,147.0,147.0
Chukotka Autonomous Okrug,141.0,137.0,115.0,111.0
Jewish Autonomous Oblast,140.0,141.0,151.0,153.0
Khabarovsk Krai,136.0,129.0,135.0,146.0
Kamchatka Krai,130.0,124.0,115.0,120.0
Sakhalin Oblast,128.0,118.0,138.0,141.0
Primorsky Krai,126.0,119.0,137.0,141.0
Magadan Oblast,124.0,115.0,126.0,129.0
Volga Federal District,132.0,124.0,139.0,144.0
Udmurtia,152.0,143.0,128.0,134.0
Perm Krai,148.0,140.0,142.0,147.0
Orenburg Oblast,147.0,138.0,139.0,143.0
Bashkortostan,145.0,137.0,131.0,134.0
Tatarstan,145.0,134.0,122.0,124.0
Mari El,142.0,130.0,136.0,141.0
Chuvashia Republic,140.0,129.0,133.0,135.0
Kirov Oblast,127.0,118.0,155.0,158.0
Samara Oblast,121.0,115.0,139.0,144.0
Nizhny Novgorod Oblast,118.0,110.0,160.0,164.0
Ulyanovsk Oblast,113.0,108.0,141.0,148.0
Saratov Oblast,113.0,107.0,142.0,145.0
Penza Oblast,108.0,101.0,149.0,152.0
Mordovia,99.0,95.0,144.0,148.0
Southern Federal District,126.0,118.0,134.0,137.0
Astrakhan Oblast,151.0,142.0,126.0,130.0
Kalmukia,148.0,145.0,100.0,101.0
Krasnodar Krai,131.0,122.0,131.0,136.0
Adygea,128.0,125.0,134.0,138.0
Volgograd Oblast,117.0,111.0,135.0,138.0
Rostov Oblast,117.0,109.0,140.0,142.0
North-West Federal District,122.0,115.0,138.0,140.0
Nenets Autonomous Okrug,174.0,150.0,102.0,104.0
Komi Republic,139.0,130.0,121.0,123.0
Vologda Oblast,139.0,129.0,150.0,157.0
Arkhangelsk Oblast,128.0,122.0,135.0,138.0
St-Petersburg,126.0,117.0,125.0,127.0
Republic of Karelia,125.0,120.0,153.0,147.0
Kaliningrad Oblast,124.0,118.0,132.0,133.0
Novgorod Oblast,119.0,115.0,179.0,184.0
Murmansk Oblast,117.0,114.0,112.0,115.0
Pskov Oblast,110.0,105.0,195.0,194.0
Leningrad Oblast,90.0,87.0,147.0,148.0
Central Federal District,114.0,108.0,139.0,140.0
Kostroma Oblast,128.0,122.0,160.0,166.0
Moscow Oblast,120.0,112.0,144.0,144.0
Kursk Oblast,119.0,116.0,166.0,168.0
Yaroslavl Oblast,119.0,112.0,159.0,158.0
Kaluga Oblast,118.0,109.0,157.0,154.0
Belgorod Oblast,117.0,110.0,140.0,140.0
Tver Oblast,116.0,110.0,182.0,187.0
Lipetsk Oblast,116.0,107.0,153.0,152.0
Vladimir Oblast,115.0,109.0,166.0,171.0
Bryansk Oblast,114.0,109.0,161.0,161.0
City of Moscow,113.0,107.0,99.0,97.0
Oryol Oblast,111.0,105.0,162.0,163.0
Ivanovo Oblast,110.0,104.0,168.0,169.0
Voronezh Oblast,109.0,102.0,156.0,159.0
Ryazan Oblast,108.0,103.0,163.0,165.0
Smolensk Oblast,105.0,104.0,167.0,168.0
Tula Oblast,101.0,94.0,177.0,177.0
