Rank,Title,Studio,Director,Worldwide Gross
1.0,Aladdin,Walt Disney Pictures,Ron Clements and John Musker,"$504,050,219"
2.0,The Bodyguard,Warner Bros.,Mick Jackson,"$410,945,720"
3.0,Home Alone 2: Lost in New York,20th Century Fox,Chris Columbus,"$358,994,850"
4.0,Basic Instinct,TriStar Pictures,Paul Verhoeven,"$352,927,224"
5.0,Lethal Weapon 3,Warner Bros.,Richard Donner,"$321,731,527"
6.0,Batman Returns,Warner Bros.,Tim Burton,"$266,822,354"
7.0,A Few Good Men,Columbia Pictures,Rob Reiner,"$243,240,178"
8.0,Sister Act,Touchstone Pictures,Emile Ardolino,"$231,605,150"
9.0,Bram Stoker's Dracula,Columbia Pictures,Francis Ford Coppola,"$215,862,692"
10.0,Wayne's World,Paramount Pictures,Penelope Spheeris,"$183,097,323"
11.0,Patriot Games,Paramount Pictures,Phillip Noyce,"$178,051,587"
12.0,Alien 3,Fox / Brandywine,David Fincher,"$159,773,545"
13.0,Unforgiven,Warner Bros.,Clint Eastwood,"$159,157,447"
14.0,Under Siege,Warner Bros.,Andrew Davis,"$156,563,139"
15.0,Death Becomes Her,Universal Studios,Robert Zemeckis,"$149,022,650"
16.0,Beethoven,Universal Studios,Brian Levant,"$147,214,049"
17.0,Far and Away,Universal Studios,Ron Howard,"$137,783,840"
18.0,Scent of a Woman,Universal Studios,Martin Brest,"$134,095,253"
19.0,A League of Their Own,Columbia Pictures,Penny Marshall,"$132,440,069"
20.0,Boomerang,Paramount Pictures,Reginald Hudlin,"$131,052,444"
