Rank (2012),Airports (Medium Hubs),IATA Code,City Served,State,2012
30.0,Portland International Airport,PDX,Portland,OR,7142610.0
31.0,Lambert-St. Louis International Airport,STL,St. Louis,MO,6200252.0
32.0,William P. Hobby Airport,HOU,Houston,TX,5043708.0
33.0,Oakland International Airport,OAK,Oakland,CA,4923435.0
34.0,Kansas City International Airport,MCI,Kansas City,MO,4866850.0
35.0,Nashville International Airport,BNA,Nashville,TN,4796868.0
36.0,Austin-Bergstrom International Airport,AUS,Austin,TX,4606143.0
37.0,Raleigh-Durham International Airport,RDU,Raleigh / Durham,NC,4489097.0
38.0,John Wayne Airport-Orange County,SNA,Santa Ana,CA,4381956.0
39.0,Sacramento International Airport,SMF,Sacramento,CA,4357899.0
40.0,Cleveland-Hopkins International Airport,CLE,Cleveland,OH,4325353.0
41.0,Louis Armstrong New Orleans International Airport,MSY,New Orleans,LA,4293538.0
42.0,Luis Muñoz Marín International Airport,SJU,San Juan,PR,4204478.0
43.0,San Jose International Airport,SJC,San Jose,CA,4077644.0
44.0,San Antonio International Airport,SAT,San Antonio,TX,4036598.0
45.0,Dallas Love Field,DAL,Dallas,TX,3902521.0
46.0,Pittsburgh International Airport,PIT,Pittsburgh,PA,3889997.0
47.0,General Mitchell International Airport,MKE,Milwaukee,WI,3707890.0
48.0,Southwest Florida International Airport,RSW,Fort Myers,FL,3630737.0
49.0,Indianapolis International Airport,IND,Indianapolis,IN,3585246.0
50.0,Memphis International Airport,MEM,Memphis,TN,3359622.0
51.0,Port Columbus International Airport,CMH,Columbus,OH,3095360.0
52.0,Cincinnati/Northern Kentucky International Airport,CVG,Covington,KY,2927218.0
53.0,Kahului Airport,OGG,Kahului,HI,2861278.0
54.0,Palm Beach International Airport,PBI,West Palm Beach,FL,2796324.0
55.0,Bradley International Airport,BDL,Windsor Locks,CT,2647064.0
56.0,Albuquerque International Sunport,ABQ,Albuquerque,NM,2630570.0
57.0,Buffalo Niagara International Airport,BUF,Buffalo,NY,2588660.0
58.0,Jacksonville International Airport,JAX,Jacksonville,FL,2579021.0
59.0,Ted Stevens Anchorage International Airport,ANC,Anchorage,AK,2249475.0
60.0,Ontario International Airport,ONT,Ontario,CA,2142387.0
61.0,Bob Hope Airport,BUR,Burbank,CA,2027197.0
62.0,Omaha Eppley Airfield,OMA,Omaha,NE,2018738.0
