Week,Date,Opponent,Result,Record,Game Site,Attendance
1.0,"September 12, 1976",at New England Patriots,W 27–13,1–0,Schaeffer Stadium,43512.0
2.0,"September 19, 1976",Cincinnati Bengals,W 28–27,2–0,Memorial Stadium,50374.0
3.0,"September 26, 1976",at Dallas Cowboys,L 27–30,2–1,Texas Stadium,64237.0
4.0,"October 3, 1976",Tampa Bay Buccaneers,W 42–17,3–1,Memorial Stadium,40053.0
5.0,"October 10, 1976",Miami Dolphins,W 28–14,4–1,Memorial Stadium,58832.0
6.0,"October 17, 1976",at Buffalo Bills,W 31–13,5–1,Rich Stadium,71009.0
7.0,"October 24, 1976",at New York Jets,W 20–0,6–1,Shea Stadium,59576.0
8.0,"November 1, 1976",Houston Oilers,W 38–14,7–1,Memorial Stadium,60020.0
9.0,"November 7, 1976",at San Diego Chargers,W 37–21,8–1,San Diego Stadium,42827.0
10.0,"November 14, 1976",New England Patriots,L 14–21,8–2,Memorial Stadium,58226.0
11.0,"November 22, 1976",at Miami Dolphins,W 17–16,9–2,Miami Orange Bowl,62104.0
12.0,"November 28, 1976",New York Jets,W 33–16,10–2,Memorial Stadium,44023.0
13.0,"December 4, 1976",at St. Louis Cardinals,L 17–24,10–3,Busch Memorial Stadium,48282.0
