Rank,Team,Country,Value ($M),Revenue ($M)
1.0,Manchester United,England,2235.0,532.0
2.0,Real Madrid,Spain,1877.0,695.0
3.0,Barcelona,Spain,1307.0,653.0
4.0,Arsenal,England,1292.0,364.0
5.0,Bayern Munich,Germany,1235.0,466.0
6.0,Milan,Italy,989.0,341.0
7.0,Chelsea,England,761.0,362.0
8.0,Liverpool,England,619.0,295.0
9.0,Juventus,Italy,591.0,223.0
10.0,Schalke 04,Germany,587.0,293.0
11.0,Tottenham Hotspur,England,564.0,262.0
12.0,Internazionale,Italy,490.0,307.0
13.0,Manchester City,England,443.0,246.0
14.0,Borussia Dortmund,Germany,394.0,197.0
15.0,Lyon,France,385.0,193.0
16.0,Hamburg,Germany,355.0,187.0
17.0,Roma,Italy,354.0,208.0
18.0,Marseille,France,349.0,218.0
19.0,Valencia,Spain,288.0,186.0
20.0,Napoli,Italy,283.0,167.0
