Party,Votes (Gib.),Votes (SW Eng),% (Gib.),% (SW Eng),Change (SW Eng),Seats
Conservative,3721.0,468742.0,53.3,30.2,-1.3,3.0
Labour,1328.0,118716.0,19.02,7.7,-6.8,0.0
Liberal Democrat,1269.0,266253.0,18.18,17.2,-1.2,1.0
Green,224.0,144179.0,3.21,9.3,2.1,0.0
UKIP,100.0,341845.0,1.43,22.1,-0.5,2.0
BNP,94.0,60889.0,1.35,3.9,0.9,0.0
Christian,70.0,21329.0,1.0,1.4,1.4,0.0
Socialist Labour,56.0,10033.0,0.8,0.6,0.6,0.0
English Democrats,37.0,25313.0,0.53,1.6,1.6,0.0
Pensioners,26.0,37785.0,0.37,2.4,2.4,0.0
Independent Katie Hopkins,15.0,8971.0,0.21,0.6,0.6,0.0
NO2EU,12.0,9741.0,0.17,0.6,0.6,0.0
Mebyon Kernow,8.0,14922.0,0.11,1.0,1.0,0.0
Fair Pay Fair Trade,8.0,7151.0,0.11,0.5,0.5,0.0
Jury Team,6.0,5758.0,0.09,0.4,0.4,0.0
Wai D Your Decision,4.0,789.0,0.06,0.1,0.1,0.0
Libertas,3.0,7292.0,0.04,0.5,0.5,0.0
