Games played,Drawn*,Lost,Goals for,Goals against,Goals difference
1.0,0.0,0.0,6.0,0.0,+6
7.0,0.0,6.0,1.0,19.0,–18
9.0,3.0,4.0,14.0,20.0,–6
7.0,1.0,1.0,10.0,3.0,+7
3.0,1.0,2.0,2.0,5.0,–3
1.0,0.0,1.0,0.0,4.0,–4
10.0,0.0,0.0,44.0,3.0,+41
23.0,3.0,8.0,40.0,29.0,+11
1.0,0.0,1.0,0.0,5.0,–5
7.0,1.0,0.0,33.0,5.0,+28
11.0,2.0,9.0,3.0,32.0,–31
10.0,2.0,2.0,22.0,10.0,+12
1.0,0.0,1.0,2.0,4.0,–2
3.0,0.0,2.0,3.0,7.0,–4
1.0,0.0,1.0,1.0,2.0,–1
1.0,0.0,1.0,0.0,3.0,–3
21.0,5.0,6.0,33.0,24.0,+9
22.0,6.0,6.0,45.0,27.0,+16
56.0,19.0,18.0,82.0,75.0,+7
5.0,0.0,5.0,0.0,11.0,–11
8.0,3.0,5.0,3.0,14.0,–11
2.0,0.0,2.0,3.0,11.0,–8
1.0,0.0,1.0,0.0,2.0,–2
22.0,7.0,7.0,31.0,26.0,+5
3.0,2.0,1.0,0.0,1.0,–1
1.0,1.0,0.0,0.0,0.0,0
9.0,1.0,2.0,17.0,8.0,+9
12.0,2.0,8.0,8.0,29.0,–21
11.0,2.0,1.0,36.0,5.0,+31
2.0,0.0,0.0,9.0,0.0,+9
1.0,0.0,0.0,3.0,1.0,+2
3.0,2.0,1.0,2.0,2.0,0
1.0,0.0,1.0,0.0,1.0,–1
2.0,0.0,0.0,14.0,0.0,+14
3.0,0.0,0.0,8.0,1.0,+7
3.0,0.0,2.0,3.0,8.0,–5
46.0,8.0,17.0,84.0,65.0,+19
6.0,0.0,1.0,21.0,0.0,+21
13.0,2.0,9.0,9.0,31.0,–22
8.0,3.0,4.0,5.0,14.0,–9
5.0,0.0,4.0,2.0,6.0,–4
4.0,0.0,1.0,15.0,4.0,+11
3.0,0.0,2.0,4.0,6.0,–2
2.0,0.0,0.0,15.0,2.0,+13
15.0,3.0,1.0,59.0,3.0,+56
6.0,3.0,3.0,3.0,11.0,–8
10.0,2.0,7.0,8.0,21.0,–13
1.0,0.0,0.0,1.0,0.0,+1
48.0,16.0,13.0,75.0,55.0,+20
54.0,9.0,34.0,47.0,98.0,–51
13.0,3.0,3.0,27.0,15.0,+12
7.0,0.0,1.0,23.0,6.0,+17
1.0,0.0,1.0,1.0,3.0,–2
2.0,0.0,0.0,9.0,3.0,+6
75.0,27.0,19.0,108.0,90.0,+18
1.0,0.0,0.0,5.0,0.0,+5
6.0,0.0,4.0,4.0,10.0,–6
1.0,0.0,0.0,3.0,0.0,+3
1.0,0.0,1.0,0.0,6.0,–6
6.0,0.0,6.0,2.0,21.0,–19
13.0,3.0,6.0,11.0,12.0,–1
2.0,0.0,0.0,3.0,1.0,+2
