Position,Club,Played,Points,Wins,Draws,Losses,Goals for,Goals against,Goal Difference
1.0,Real Oviedo,38.0,52+14,18.0,16.0,4.0,52.0,29.0,23.0
2.0,Racing de Santander,38.0,52+14,21.0,10.0,7.0,49.0,34.0,15.0
3.0,Sevilla FC,38.0,51+13,22.0,7.0,9.0,58.0,27.0,31.0
4.0,Córdoba CF,38.0,46+8,19.0,8.0,11.0,59.0,34.0,25.0
5.0,Cádiz CF,38.0,43+5,18.0,7.0,13.0,54.0,43.0,11.0
6.0,CD Castellón,38.0,42+4,17.0,8.0,13.0,48.0,39.0,9.0
7.0,CD San Andrés,38.0,39+1,12.0,15.0,11.0,35.0,31.0,4.0
8.0,Rayo Vallecano,38.0,38,16.0,6.0,16.0,47.0,47.0,0.0
9.0,Burgos,38.0,38,14.0,10.0,14.0,54.0,46.0,8.0
10.0,Barcelona Atlètic,38.0,38,13.0,12.0,13.0,46.0,52.0,-6.0
11.0,Real Valladolid,38.0,36-2,12.0,12.0,14.0,48.0,45.0,3.0
12.0,CD Tenerife,38.0,36-2,15.0,6.0,17.0,50.0,56.0,-6.0
13.0,Gimnástico de Tarragona,38.0,35-3,11.0,13.0,14.0,34.0,36.0,-2.0
14.0,Recreativo de Huelva,38.0,35-3,12.0,11.0,15.0,39.0,43.0,-4.0
15.0,Barakaldo CF,38.0,33-5,12.0,9.0,17.0,33.0,54.0,-21.0
16.0,Deportivo Alavés,38.0,33-5,13.0,7.0,18.0,35.0,45.0,-10.0
17.0,RCD Mallorca,38.0,33-5,12.0,9.0,17.0,42.0,56.0,-14.0
18.0,CD Orense,38.0,32-6,9.0,14.0,15.0,30.0,44.0,-14.0
19.0,CE Sabadell FC,38.0,26-12,8.0,10.0,20.0,54.0,69.0,-15.0
20.0,Cultural Leonesa,38.0,22-16,6.0,10.0,22.0,31.0,68.0,-37.0
