Locale,Skip,Ends Won,Ends Lost,Blank Ends,Stolen Ends,Shot Pct.
Manitoba,Jennifer Jones,49.0,38.0,10.0,18.0,80.0
British Columbia,Kelly Scott,46.0,34.0,20.0,20.0,80.0
Saskatchewan,Stefanie Lawton,42.0,46.0,17.0,7.0,83.0
Ontario,Jenn Hanna,44.0,45.0,11.0,7.0,83.0
Alberta,Cathy King,45.0,45.0,13.0,12.0,79.0
Canada,Colleen Jones,49.0,44.0,11.0,15.0,82.0
New Brunswick,Sandy Comeau,46.0,52.0,7.0,12.0,77.0
Nova Scotia,Kay Zinck,42.0,46.0,11.0,10.0,76.0
Quebec,Brenda Nicholls,45.0,50.0,9.0,14.0,79.0
Northwest Territories Yukon,Kerry Koe,49.0,44.0,11.0,14.0,77.0
Prince Edward Island,Rebecca Jean MacPhee,49.0,44.0,11.0,14.0,77.0
Newfoundland and Labrador,Heather Strong,39.0,47.0,15.0,9.0,77.0
