Position,Drivers,Class,Class Position,Laps
1.0,"Frank Gardner , Kevin Bartlett",C,1.0,231.0
2.0,"Steve Holland, Albert Poon",C,2.0,227.0
3.0,"Bob Holden, Ron Haylen",D,1.0,217.0
4.0,"John Newmarch, Dennis Dix",C,3.0,217.0
5.0,"William Stanley, Digby Cooke",D,2.0,216.0
6.0,"Max Volkers, Barry Broomhall",C,4.0,216.0
7.0,"Rod Murphy, Terry Murphy",D,3.0,216.0
8.0,"Brian Sampson, William Buckle",D,4.0,213.0
9.0,"Fred Sutherland, Alan Mottram",A,1.0,213.0
10.0,"Bob Jane , George Reynolds",C,5.0,212.0
11.0,"Peter Brown, Ray Gulson",D,5.0,210.0
12.0,"John Roxburgh, D Whiteford",B,1.0,209.0
13.0,"Ron King, Alan King",E,1.0,209.0
14.0,"Geoff Russell, Syd Fisher",C,6.0,207.0
15.0,"Warren Weldon, Bill Slattery",A,2.0,207.0
16.0,"Bill Burns, B Lawler",A,3.0,207.0
17.0,"Ron Stelmack, Barry Coutts",B,2.0,206.0
18.0,"John Peebles, Ross Edwards",A,4.0,205.0
19.0,"Bob Brown, Gavin Bailieu",E,2.0,202.0
20.0,"David Fraser, Brian McGrath",D,6.0,202.0
21.0,"Ewan Fraser, B Hindhaugh",E,3.0,197.0
22.0,"Brian Reed, Max Stewart",C,7.0,195.0
23.0,"Les Palmer, Terry Morris",B,3.0,195.0
24.0,"Don Preece, Dick Thurston",A,5.0,195.0
25.0,"Pat Crea, Ron Grose",D,7.0,193.0
26.0,"Garry Shoesmith, Anthony Robards",E,4.0,193.0
27.0,"Dianne Leighton, Kaye Whiteford",E,5.0,182.0
28.0,"Mal Bailey, J Hicks",C,8.0,181.0
29.0,"Max Patterson, Ian Forde",E,6.0,178.0
