Season,Series,Team,Races,Wins,Poles,F/Laps,Podiums,Points,Position
1988.0,European Formula Ford 1600,Eufra Racing,4.0,1.0,1.0,0.0,3.0,50,2nd
1988.0,German Formula Ford 1600,Eufra Racing,7.0,3.0,0.0,0.0,5.0,124,6th
1988.0,Formula König,Hoecker Sportwagenservice,10.0,9.0,1.0,1.0,10.0,192,1st
1989.0,German Formula Three,WTS Racing,12.0,2.0,2.0,0.0,7.0,163,3rd
1989.0,European Formula Three Cup,WTS Racing,1.0,0.0,0.0,0.0,0.0,N/A,NC
1989.0,Macau Grand Prix,WTS Racing,1.0,0.0,0.0,0.0,0.0,N/A,NC
1990.0,World Sportscar Championship,Team Sauber Mercedes,3.0,1.0,0.0,1.0,3.0,21,5th
1990.0,German Formula Three,WTS Racing,11.0,5.0,6.0,4.0,7.0,148,1st
1990.0,European Formula Three Cup,WTS Racing,1.0,0.0,1.0,1.0,0.0,N/A,NC
1990.0,Macau Grand Prix,WTS Racing,1.0,1.0,0.0,0.0,0.0,N/A,1st
1990.0,Deutsche Tourenwagen Meisterschaft,HWA AG,1.0,0.0,0.0,0.0,0.0,0,NC
1991.0,Formula One,Team 7UP Jordan,1.0,0.0,0.0,0.0,0.0,0,14th
1991.0,Formula One,Camel Benetton Ford,5.0,0.0,0.0,0.0,0.0,4,14th
1991.0,World Sportscar Championship,Team Sauber Mercedes,8.0,1.0,0.0,2.0,2.0,43,9th
1991.0,Deutsche Tourenwagen Meisterschaft,Zakspeed Mercedes,2.0,0.0,0.0,0.0,0.0,0,NC
1991.0,Japanese Formula 3000,Team Le Mans,1.0,0.0,0.0,0.0,1.0,6,12th
1992.0,Formula One,Camel Benetton Ford,16.0,1.0,0.0,2.0,8.0,53,3rd
1993.0,Formula One,Camel Benetton Ford,16.0,1.0,0.0,5.0,9.0,52,4th
1994.0,Formula One,Mild Seven Benetton Ford,14.0,8.0,6.0,8.0,10.0,92,1st
1995.0,Formula One,Mild Seven Benetton Renault,17.0,9.0,4.0,8.0,11.0,102,1st
1996.0,Formula One,Scuderia Ferrari S.p.A.,16.0,3.0,4.0,2.0,8.0,59,3rd
1997.0,Formula One,Scuderia Ferrari Marlboro,17.0,5.0,3.0,3.0,8.0,78,DSQ
1998.0,Formula One,Scuderia Ferrari Marlboro,16.0,6.0,3.0,6.0,11.0,86,2nd
1999.0,Formula One,Scuderia Ferrari Marlboro,10.0,2.0,3.0,5.0,6.0,44,5th
2000.0,Formula One,Scuderia Ferrari Marlboro,17.0,9.0,9.0,2.0,12.0,108,1st
2001.0,Formula One,Scuderia Ferrari Marlboro,17.0,9.0,11.0,3.0,14.0,123,1st
2002.0,Formula One,Scuderia Ferrari Marlboro,17.0,11.0,7.0,7.0,17.0,144,1st
2003.0,Formula One,Scuderia Ferrari Marlboro,16.0,6.0,5.0,5.0,9.0,93,1st
2004.0,Formula One,Scuderia Ferrari Marlboro,18.0,13.0,8.0,10.0,15.0,148,1st
2005.0,Formula One,Scuderia Ferrari Marlboro,19.0,1.0,1.0,3.0,5.0,62,3rd
2006.0,Formula One,Scuderia Ferrari Marlboro,18.0,7.0,4.0,7.0,12.0,121,2nd
2010.0,Formula One,Mercedes GP Petronas F1 Team,19.0,0.0,0.0,0.0,0.0,72,9th
2011.0,Formula One,Mercedes GP Petronas F1 Team,19.0,0.0,0.0,0.0,0.0,76,8th
