Rank,Name,City,Metres,Floors
1.0,Z-Towers,Riga,133.0,34.0
2.0,Panorama Plaza III,Riga,114.0,32.0
3.0,Spice - office building,Riga,114.0,28.0
4.0,Panorama Plaza IV,Riga,99.0,25.0
5.0,Elipses Apartamenti,Riga,96.0,31.0
6.0,Da Vinci apartments,Riga,95.0,27.0
7.0,Symbiotic Tower,Riga,91.0,24.0
8.0,Zaķusala Embankment I,Riga,84.0,26.0
9.0,Zaķusala Embankment II,Riga,84.0,26.0
10.0,Dzelzavas street 74,Riga,75.0,24.0
11.0,Office centre Skanste,Riga,74.0,20.0
12.0,ABLV bank central office building,Riga,74.0,20.0
13.0,The New Hanza city hotel building,Riga,73.0,19.0
14.0,National Latvian Library,Riga,68.0,13.0
