Rank,Nation,Gold,Silver,Bronze,Total
1,Hungary,6.0,2.0,8.0,16.0
2,Russia,8.0,3.0,2.0,13.0
3,Poland,3.0,4.0,4.0,11.0
4,Germany,2.0,4.0,5.0,11.0
5,Canada,3.0,1.0,0.0,4.0
6,Czech Republic,0.0,3.0,1.0,4.0
7,Romania,0.0,2.0,2.0,4.0
8,Italy,0.0,3.0,0.0,3.0
9,Australia,1.0,0.0,1.0,2.0
10,Slovakia,1.0,0.0,1.0,2.0
11,Israel,1.0,0.0,0.0,1.0
12,Spain,1.0,0.0,0.0,1.0
13,Bulgaria,0.0,1.0,0.0,1.0
14,Cuba,0.0,1.0,0.0,1.0
15,Norway,0.0,1.0,0.0,1.0
16,Ukraine,0.0,1.0,0.0,1.0
17,Denmark,0.0,0.0,1.0,1.0
18,France,0.0,0.0,1.0,1.0
Total,Total,26.0,26.0,26.0,78.0
