Game,Date,Opponent,Result,Bills points,Opponents,Bills first downs,Record,'Attendance
1.0,Sept. 16,Oakland Raiders,Win,21.0,20.0,22.0,1–0,80020.0
2.0,Sept. 22,Miami Dolphins,Loss,16.0,24.0,16.0,1–1,80020.0
3.0,Sept. 29,New York Jets,Win,16.0,12.0,17.0,2–1,76978.0
4.0,Oct. 6,at Green Bay Packers,Win,27.0,7.0,22.0,3–1,56267.0
5.0,Oct. 13,at Baltimore Colts,Win,27.0,14.0,15.0,4–1,40626.0
6.0,Oct. 20,New England Patriots,Win,30.0,28.0,19.0,5–1,78935.0
7.0,Oct. 27,Chicago Bears,Win,16.0,6.0,16.0,6–1,78084.0
8.0,Nov. 3,at New England Patriots,Win,29.0,28.0,22.0,7–1,61279.0
9.0,Nov. 10,Houston Oilers,Loss,9.0,21.0,16.0,7–2,79144.0
10.0,Nov. 17,at Miami Dolphins,Loss,28.0,35.0,16.0,7–3,69313.0
11.0,Nov. 24,at Cleveland Browns,Win,15.0,10.0,10.0,8–3,66504.0
12.0,Dec. 1,Baltimore Colts,Win,6.0,0.0,9.0,9–3,75325.0
13.0,Dec. 8,at New York Jets,Loss,10.0,20.0,12.0,9–4,61091.0
14.0,Dec. 15,at Los Angeles Rams,Loss,14.0,19.0,8.0,9–5,84324.0
