Appearances,Team,Wins,Losses,Win %
34.0,Montreal Canadiens,24.0,9.0,0.706
24.0,Detroit Red Wings,11.0,13.0,0.458
21.0,Toronto Maple Leafs,13.0,8.0,0.619
19.0,Boston Bruins,6.0,13.0,0.316
12.0,Chicago Blackhawks,5.0,7.0,0.416
10.0,New York Rangers,4.0,6.0,0.4
8.0,Philadelphia Flyers,2.0,6.0,0.25
7.0,Edmonton Oilers,5.0,2.0,0.714
5.0,New York Islanders,4.0,1.0,0.8
5.0,New Jersey Devils,3.0,2.0,0.6
4.0,Pittsburgh Penguins,3.0,1.0,0.75
4.0,Dallas Stars,1.0,3.0,0.25
3.0,Calgary Flames,1.0,2.0,0.333
3.0,St. Louis Blues,0.0,3.0,0.0
3.0,Vancouver Canucks,0.0,3.0,0.0
2.0,Colorado Avalanche,2.0,0.0,1.0
2.0,Anaheim Ducks,1.0,1.0,0.5
2.0,Carolina Hurricanes,1.0,1.0,0.5
2.0,Los Angeles Kings,1.0,1.0,0.5
2.0,Buffalo Sabres,0.0,2.0,0.0
1.0,Tampa Bay Lightning,1.0,0.0,1.0
1.0,Florida Panthers,0.0,1.0,0.0
1.0,Ottawa Senators,0.0,1.0,0.0
1.0,Washington Capitals,0.0,1.0,0.0
