Rank,Nation,Gold,Silver,Bronze,Total
1.0,East Germany,13.0,8.0,7.0,28.0
2.0,West Germany,8.0,1.0,4.0,13.0
3.0,Soviet Union,6.0,12.0,8.0,26.0
4.0,Great Britain,3.0,5.0,1.0,9.0
5.0,Czechoslovakia,1.0,4.0,4.0,9.0
6.0,Italy,1.0,2.0,2.0,5.0
6.0,Spain,1.0,2.0,2.0,5.0
8.0,Bulgaria,1.0,2.0,1.0,4.0
8.0,Poland,1.0,2.0,1.0,4.0
10.0,Romania,1.0,2.0,0.0,3.0
11.0,Finland,1.0,0.0,3.0,4.0
12.0,Greece,1.0,0.0,1.0,2.0
12.0,Sweden,1.0,0.0,1.0,2.0
14.0,Netherlands,1.0,0.0,0.0,1.0
14.0,Portugal,1.0,0.0,0.0,1.0
16.0,Belgium,0.0,1.0,1.0,2.0
17.0,France,0.0,0.0,3.0,3.0
18.0,Hungary,0.0,0.0,1.0,1.0
18.0,Norway,0.0,0.0,1.0,1.0
19.0,Total,41.0,41.0,41.0,123.0
