Period,Births,Deaths,Difference,Crude Birth Rate,Crude Death Rate,Natural Increase,Total Fertility Rate,Infant Mortality Rate
1950 - 1955,230 000,114 000,116 000,238.0,118.0,120.0,270.0,905.0
1955 - 1960,372 000,109 000,263 000,362.0,106.0,256.0,380.0,759.0
1960 - 1965,381 000,106 000,275 000,328.0,91.0,237.0,341.0,669.0
1965 - 1970,490 000,105 000,385 000,369.0,79.0,290.0,409.0,563.0
1970 - 1975,458 000,92 000,365 000,302.0,61.0,241.0,372.0,441.0
1975 - 1980,317 000,83 000,233 000,190.0,50.0,140.0,258.0,352.0
1980 - 1985,388 000,92 000,296 000,216.0,51.0,165.0,293.0,299.0
1985 - 1990,389 000,105 000,284 000,200.0,54.0,146.0,245.0,261.0
1990 - 1995,450 000,124 000,326 000,215.0,59.0,155.0,240.0,243.0
1995 - 2000,443 000,219 000,225 000,198.0,98.0,101.0,220.0,549.0
2000 - 2005,379 000,209 000,170 000,163.0,90.0,73.0,205.0,285.0
