Round,Pick,Overall,Name,Position,College
1.0,6.0,6.0,George Thomas,HB,Oklahoma
2.0,5.0,19.0,Hall Haynes,DB,Santa Clara [d ]
3.0,5.0,32.0,Lou Karras,DT,Purdue
4.0,5.0,45.0,Harry Ulinski,C,Kentucky
5.0,5.0,58.0,Frank Spaniel,HB,Notre Dame
6.0,5.0,71.0,Gene Pepper,G,Missouri
7.0,5.0,84.0,Jerry Houghton,OT,Washington State
8.0,5.0,97.0,John Rohde,E,Pacific [h ]
9.0,5.0,110.0,Don Winslow,OT,Iowa
10.0,5.0,123.0,Eddie LeBaron,QB,Pacific [h ]
11.0,5.0,136.0,Danny Brown,DE,Villanova
12.0,5.0,149.0,Bill Chauncey,RB,Iowa State
13.0,5.0,162.0,Clay Davis,C,Oklahoma State
14.0,5.0,175.0,Lyle Button,OT,Illinois
15.0,5.0,188.0,Alex Loyd,E,Oklahoma State
16.0,5.0,201.0,Charlie Justice,HB,North Carolina
17.0,5.0,214.0,Jim Cullom,G,California
18.0,5.0,227.0,Alvin Duke,RB,Arkansas
19.0,5.0,240.0,Ed White,E,Alabama
20.0,5.0,253.0,George Bayer,OT,Washington
21.0,5.0,266.0,Casimir Witucki,G,Indiana
22.0,5.0,279.0,John deLaurentis,OT,Waynesburg
23.0,5.0,292.0,Joe Zuravleff,E,Northwestern
24.0,5.0,305.0,Dick Tilton,OT,Nevada
25.0,5.0,318.0,Art Stewart,RB,Oklahoma
26.0,5.0,331.0,Earl Roth,RB,Maryland
27.0,5.0,344.0,Ed Lee,OT,Kansas
28.0,5.0,357.0,Ralph Shoaf,RB,West Virginia
29.0,5.0,370.0,Johnny Lundin,G,Minnesota
30.0,3.0,383.0,Bob Noppinger,E,Georgetown
