Week,Date,Opponent,Result,Attendance
1.0,"September 2, 1984",at Detroit Lions,W 30-27,56782.0
2.0,"September 10, 1984 (Mon)",Washington Redskins,W 37-31,59707.0
3.0,"September 16, 1984",New Orleans Saints,W 30-20,57611.0
4.0,"September 23, 1984",at Philadelphia Eagles,W 21-9,62771.0
5.0,"September 30, 1984",Atlanta Falcons,W 14-5,57990.0
6.0,"October 8, 1984 (Mon)",at New York Giants,W 31-10,76112.0
7.0,"October 14, 1984",Pittsburgh Steelers,L 17-20,59110.0
8.0,"October 21, 1984",at Houston Oilers,W 34-21,39900.0
9.0,"October 28, 1984",at Los Angeles Rams,W 33-0,65481.0
10.0,"November 4, 1984",Cincinnati Bengals,W 23-17,58324.0
11.0,"November 11, 1984",at Cleveland Browns,W 41-7,60092.0
12.0,"November 18, 1984",Tampa Bay Buccaneers,W 24-17,57704.0
13.0,"November 25, 1984",at New Orleans Saints,W 35-3,65177.0
14.0,"December 2, 1984",at Atlanta Falcons,W 35-17,29644.0
15.0,"December 8, 1984 (Sat)",Minnesota Vikings,W 51-7,56670.0
16.0,"December 14, 1984 (Fri)",Los Angeles Rams,W 19-16,59743.0
