Season,Mens singles,Womens singles,Mens doubles,Womens doubles,Mixed doubles
2000.0,Pullela Gopichand,Aparna Popat,Vincent Lobo Jaseel P. Ismail,Jwala Gutta Shruti Kurian,Vincent Lobo Madhumita Bisht
2001.0,Abhinn Shyam Gupta,Aparna Popat,Sanave Thomas Valiyaveetil Diju,K. Neelima Chowdary D. Swetha,Markose Bristow Madhumita Bisht
2002.0,Abhinn Shyam Gupta,Aparna Popat,Markose Bristow Rupesh Kumar,Jwala Gutta Shruti Kurian,Jaseel P. Ismail Manjusha Kanwar
2003.0,Chetan Anand,Aparna Popat,Markose Bristow Rupesh Kumar,Jwala Gutta Shruti Kurian,Pullela Gopichand Jwala Gutta
2004.0,Anup Sridhar,Aparna Popat,Rupesh Kumar Sanave Thomas,Jwala Gutta Shruti Kurian,Markose Bristow B. R. Meenakshi
2005.0,Anup Sridhar,Aparna Popat,Rupesh Kumar Sanave Thomas,Jwala Gutta Shruti Kurian,Valiyaveetil Diju Jwala Gutta
2006.0,Chetan Anand,Aparna Popat,Rupesh Kumar Sanave Thomas,Jwala Gutta Shruti Kurian,Valiyaveetil Diju Shruti Kurian
2007.0,Chetan Anand,Saina Nehwal,Rupesh Kumar Sanave Thomas,Jwala Gutta Shruti Kurian,Valiyaveetil Diju Aparna Balan
2008.0,Arvind Bhat,Sayali Gokhale,Rupesh Kumar Sanave Thomas,Jwala Gutta Shruti Kurian,Valiyaveetil Diju Jwala Gutta
2009.0,Chetan Anand,Trupti Murgunde,Rupesh Kumar Sanave Thomas,Jwala Gutta Ashwini Ponnappa,Valiyaveetil Diju Jwala Gutta
2010.0,Arvind Bhat,Aditi Mutatkar,Rupesh Kumar Sanave Thomas,Aparna Balan Prajakta Sawant,Pranav Chopra Prajakta Sawant
