County,Per capita income,Median household income,Median family income,Population,Number of households
Maricopa,"$27,816","$55,054","$65,438",3817117.0,1411583.0
United States,"$27,334","$51,914","$62,982",308745538.0,116716292.0
Arizona,"$25,680","$50,448","$59,840",6392017.0,2380990.0
Yavapai,"$25,527","$43,290","$53,499",211033.0,90903.0
Pima,"$25,093","$45,521","$57,377",980263.0,388660.0
Cochise,"$23,010","$44,876","$53,077",131346.0,50865.0
Coconino,"$22,632","$49,510","$58,841",134421.0,46711.0
Pinal,"$21,716","$51,310","$56,299",375770.0,125590.0
Mohave,"$21,523","$39,785","$47,530",200186.0,82539.0
Greenlee,"$21,281","$48,696","$51,729",8437.0,3188.0
La Paz,"$21,165","$32,147","$37,721",20489.0,9198.0
Gila,"$19,600","$37,580","$46,292",53597.0,22000.0
Yuma,"$18,418","$40,340","$42,718",195751.0,64767.0
Navajo,"$16,745","$39,774","$45,906",107449.0,35658.0
Santa Cruz,"$16,209","$36,519","$40,933",47420.0,15437.0
Graham,"$15,644","$41,683","$48,005",37220.0,11120.0
Apache,"$12,294","$30,184","$36,915",71518.0,22771.0
