No. in series,No. in season,Title,Directed by,Written by,Original air date,Production code,U.S. viewers (millions)
133.0,1.0,"""The Ticket""",Christopher Misiano,Debora Cahn,"September25,2005",2T6201,8.90
134.0,2.0,"""The Mommy Problem""",Alex Graves,Eli Attie,"October2,2005",2T6202,7.66
135.0,3.0,"""Message of the Week""",Christopher Misiano,"Lawrence O'Donnell, Jr.","October9,2005",2T6203,7.95
136.0,4.0,"""Mr. Frost""",Andrew Bernstein,Alex Graves,"October16,2005",2T6204,8.15
137.0,5.0,"""Here Today""",Alex Graves,Peter Noah,"October23,2005",2T6205,7.85
138.0,6.0,"""The Al Smith Dinner""",Lesli Linka Glatter,Eli Attie,"October30,2005",2T6206,8.51
139.0,7.0,"""The Debate""",Alex Graves,"Lawrence O'Donnell, Jr.","November6,2005",2T6207,9.58
140.0,8.0,"""Undecideds""",Christopher Misiano,Debora Cahn,"December4,2005",2T6208,7.26
141.0,9.0,"""The Wedding""",Max Mayer,Josh Singer,"December11,2005",2T6209,8.13
142.0,10.0,"""Running Mates""",Paul McCrane,Peter Noah,"January8,2006",2T6210,11.74
143.0,11.0,"""Internal Displacement""",Andrew Bernstein,Bradley Whitford,"January15,2006",2T6211,6.36
144.0,12.0,"""Duck and Cover""",Christopher Misiano,Eli Attie,"January22,2006",2T6212,7.71
146.0,14.0,"""Two Weeks Out""",Laura Innes,"Lawrence O'Donnell, Jr.","March19,2006",2T6214,8.07
147.0,15.0,"""Welcome to Wherever You Are""",Matia Karrell,Josh Singer,"March26,2006",2T6215,7.90
148.0,16.0,"""Election Day Part I""",Mimi Leder,Lauren Schmidt,"April2,2006",2T6216,7.27
149.0,17.0,"""Election Day Part II""",Christopher Misiano,Eli Attie & John Wells,"April9,2006",2T6217,8.39
150.0,18.0,"""Requiem""",Steve Shill,"Eli Attie, Debora Cahn & John Wells","April16,2006",2T6218,8.29
151.0,19.0,"""Transition""",Nelson McCormick,Peter Noah,"April23,2006",2T6219,8.42
152.0,20.0,"""The Last Hurrah""",Tim Matheson,"Lawrence O'Donnell, Jr.","April30,2006",2T6220,8.34
153.0,21.0,"""Institutional Memory""",Lesli Linka Glatter,Debora Cahn,"May7,2006",2T6221,7.94
