Draft,Round,Pick,Player,Nationality
1968.0,1.0,6.0,Gary Edwards,Canada
1968.0,2.0,16.0,Curt Bennett,Canada
1969.0,2.0,19.0,Mike Lowe,Canada
1969.0,3.0,30.0,Bernie Gagnon,Canada
1969.0,4.0,42.0,Vic Teal,Canada
1969.0,5.0,54.0,Brian Glenwright,Canada
1969.0,6.0,66.0,Tommi Salmelainen,Finland
1969.0,6.0,70.0,Dale Yutsyk,Canada
1969.0,7.0,73.0,Bob Collyard,USA
1969.0,7.0,77.0,Dave Pulkkinen,Canada
1969.0,8.0,80.0,Pat Lange,Canada
1969.0,9.0,82.0,John Converse,Canada
1970.0,2.0,23.0,Murray Keogan,Canada
1970.0,3.0,37.0,Ron Climie,Canada
1970.0,4.0,51.0,Gord Brooks,Canada
1970.0,5.0,65.0,Mike Stevens,Canada
1970.0,6.0,79.0,Claude Moreau,Canada
1970.0,7.0,85.0,Jack Taggart,Canada
1970.0,7.0,92.0,Terry Marshall,Canada
1970.0,8.0,104.0,Dave Tataryn,Canada
1970.0,9.0,108.0,Bob Winograd,Canada
1970.0,10.0,111.0,Mike Lampman,USA
1970.0,11.0,112.0,Jeff Rotsch,USA
1970.0,12.0,113.0,Al Calver,Canada
1970.0,13.0,114.0,Gerry MacDonald,Canada
1970.0,14.0,115.0,Gerald Haines,Canada
1973.0,1.0,5.0,John Davidson,Canada
1973.0,2.0,24.0,George Pesut,Canada
1973.0,3.0,48.0,Bob Gassoff,Canada
1973.0,5.0,72.0,Bill Laing,Canada
1973.0,6.0,88.0,Randy Smith,Canada
1973.0,7.0,104.0,John Wensink,Canada
1973.0,8.0,120.0,Jean Tetreault,Canada
1976.0,1.0,7.0,Bernie Federko †,Canada
1976.0,2.0,20.0,Brian Sutter,Canada
1976.0,2.0,25.0,John Smrke,Canada
1976.0,3.0,43.0,Jim Kirkpatrick,Canada
1976.0,4.0,56.0,Mike Liut,Canada
1976.0,4.0,61.0,Paul Skidmore,USA
1976.0,6.0,97.0,Nels Goddard,Canada
1976.0,7.0,113.0,Mike Eaves,USA
1976.0,8.0,121.0,Jacques Soguel,Switzerland
1976.0,9.0,124.0,Dave Dornseif,USA
1976.0,10.0,126.0,Brad Wilson,USA
1976.0,11.0,128.0,Dan Hoene,USA
1976.0,12.0,130.0,Goran Lindblom,Sweden
1976.0,13.0,132.0,Jim Bales,Canada
1976.0,14.0,134.0,Anders Hakansson,Sweden
1976.0,15.0,135.0,Juhani Walleniush,Finland
1978.0,1.0,3.0,Wayne Babych,Canada
1978.0,3.0,39.0,Steve Harrison,Canada
1978.0,5.0,72.0,Kevin Willison,Canada
1978.0,6.0,89.0,Jim Nill,Canada
1978.0,7.0,106.0,Steve Stockman,Canada
1978.0,7.0,109.0,Paul MacLean,Canada
1978.0,8.0,123.0,Denis Houle,Canada
1978.0,9.0,140.0,Tony Meagher,Canada
1978.0,9.0,143.0,Rick Simpson,Canada
1978.0,10.0,157.0,Jim Lockhurst,Canada
1978.0,10.0,160.0,Bob Froese,Canada
1978.0,10.0,170.0,Dan Lerg,USA
1978.0,11.0,173.0,Risto Siltanen,Finland
1978.0,11.0,175.0,Dan Hermansson,Sweden
1978.0,11.0,181.0,Jean-Francois Boutin,Canada
1978.0,11.0,185.0,John Sullivan,USA
1978.0,12.0,188.0,Serge Menard,Canada
1978.0,12.0,191.0,Don Boyd,Canada
1978.0,12.0,197.0,Paul Stasiuk,Canada
1978.0,12.0,200.0,Gerd Truntschka,West Germany
1978.0,13.0,203.0,Viktor Shkurdyuk,USSR
1978.0,13.0,205.0,Carl Bloomberg,USA
1978.0,13.0,207.0,Terry Kitching,Canada
1978.0,13.0,209.0,Brian O'Connor,USA
1978.0,13.0,210.0,Brian Crombeen,Canada
1978.0,13.0,211.0,Mike Pidgeon,Canada
1978.0,14.0,214.0,John Cochrane,USA
1978.0,14.0,216.0,Joe Casey,USA
1978.0,14.0,218.0,Jim Farrell,USA
1978.0,14.0,220.0,Frank Johnson,USA
1978.0,14.0,221.0,Blair Wheeler,Canada
